codbarras;descrip
6942189530159;ACETAMINOFEN SUSP ORAL 125MG/5ML X 60 ML KMPL
7598981000582;ACETAMINOFEN SUSPENSION 125 MG /5ML X60 JMW
6921875008530;ACETAMINOFEN TAB 500 MG X 10 KMPLUS
7594001101604;ACETAMINOFEN TAB 650MG X 10 PLUSANDEX
7591519008494;ACETAMINOFEN-TRAMADOL 325/37,5mg x10 TA CALOX
7591196006516;ACETAMINOFENO 500MG X10 TAB OFTALMI
7591196006523;ACETAMINOFENO 500MG X30 TAB OFTALMI
7592806121018;ACETOBEN FRASCO 120 ML RONAVA
7591020006156;ACEVAL 100MG/ML X 30ML GTAS  VALMOR
7591020008839;ACEVAL 180MG/5ML X 120ML SOL VALMOR
7591020000611;ACEVAL 650MG X 10 TAB VALMOR
7591020008471;ACEVAL 650MG X 50 TAB VALMOR
7591020009423;ACEVAL DIA ANTIG. 650MG X 20MG X 2MG 8 TAB VA
7591020009430;ACEVAL NOCHE ANTIG. 650MG X 4MG 6 TAB VALMOR
7591585111838;ACICLOR  TAB 1G X 10 LETI AP
7591585311634;ACICLOR 5% CREMA X10G GENVEN
8904306503475;ACICLOVIR (PRISMAVIR) 200 MG X 100 TAB PRISM
7591519005639;ACICLOVIR 200 MG TAB X 25 CALOX
7750215003602;ACICLOVIR 200 MG X 100 TAB  PORTUGAL
7591519001099;ACICLOVIR 5% X CREMA TOPICA CALOX
7592348201117;ACICLOVIR 50MG CREMA TOPICA X 20G POLINAC
6942189211324;ACICLOVIR CREM TOP 5% X 5 G KMPLUS
7598981002029;ACICLOVIR CREMA 5% X 15 GR JMW
7467922682173;ACIDO ACETISAL (NORPRIM) 81MG X 100TAB FARQUI
8904159499772;ACIDO ASCORBICO 100MG ML X 10 AMP ADN
7594000850282;ACIDO ASCORBICO 100MG/5ML 30ML BIOQUIMICA
1759825210;ACIDO ASCORBICO 500MG/5ML X 10 AMP DISTRILAB
7599028000572;ÁCIDO BÓRICO 20 G LYA
7591616001466;ACIDO BORICO 20GR BIOFARCO
8904180211565;ACIDO FOLICO (CIDOFOL) 5MG/ML X10 AMP SOL INY
7591020004985;ACIDO FOLICO 10 MG / ML GTAS X 15ML GENCER
7591619501031;ACIDO FOLICO 10 MG / ML GTAS X 15ML KLINOS
7591585171498;ACIDO FOLICO 10 MG X 20 TAB GENVEN
7594001101338;ACIDO FOLICO 10MG TAB X 20 PLUSANDEX
7592601300014;ACIDO FOLICO 5 MG X 20 TAB MEYER
7594001101314;ACIDO FOLICO 5 MG X 30 TAB  PLUSANDEX
7598981002449;ACIDO FOLICO 5 MG X 30 TAB JMW
7592601301479;ACIDO FOLICO 5 MG X 30 TAB MEYER
17598252101571;ACIDO FOLICO AMP 10MG/2ML X 10 AMP DISTRILAB
7591619501048;ACIDO FOLICO CAJA X 3AMP KLINOS
7598813000339;ACIDO FOLICO COMP 10 MG X 10 TAB MM
7592349926194;ACIDO FOLICO COMP 10 MG X 20 G.C
7591619501024;ACIDO FOLICO COMP 10 MG X 20 KLINOS
7591519004892;ACIDO FOLICO COMP 10MG X 20 CALOX
7591020008174;ACIDO FOLICO COMP 10MG X 30 GENCER
7592601301486;ACIDO FOLICO COMP 10MG X 30 MEYER
7591519001112;ACIDO FOLICO COMP 10MG X 30 TAB CALOX
7591619501017;ACIDO FOLICO COMP 5 MG X 20 KLINOS
7591619000213;ACIDO FOLICO COMP 5 MG X 30 KLINOS
7591585271488;ACIDO FOLICO COMP 5MG X 30 GENVEN
7592601300779;ACIDO FOLICO GOTAS  X 15 ML MEYER
7598981001138;ACIDO FOLICO IM/IV 10MG/2ML X 10 AMP JMW
7594001101345;ACIDO FOLICO TAB  10MG X 30 PLUSANDEX
18906047595709;ACIDO SALICILICO UNGÜENTO 6% 20G JMW
18906047595532;ACIDO TRANEXAMICO 500MG X 100 TABLETAS JMW
7467922680018;ACIFAR (ANTIACIDO) SUSP ORAL MENTA 150 ML JMW
7591519051865;ACLER 150MG X 1 TAB MCK
7795368002249;ACRYLARM (ACIDO POLIA) GEL 0.2% X10G POEN
7841134017822;ACUAFIL(DEXTRAN+HIDROXIPR)0.1%0.05SOL OFT10ML
7591309003692;ADEL UNGUENTO 50GR PYB
7591844000712;ADEMINA GEL ANTIBACTERIAL 100ML ETIFAR
7591844000743;ADEMINA KIDS LOC HIDRAT BLANCA 170GR ETIFAR
7591844000750;ADEMINA KIDS LOC HIDRAT ROSADA 170GR ETIFAR
7591844000729;ADEMINA KIDS REVITAL.CAPILAR 200ML ROS ETIFAR
7591844000583;ADEMINA KIDS X 60GR ETIFAR
7591844000439;ADEMINA PLUS 30GR ETIFAR
7591844000606;ADEMINA SOL.JAB. 190CC. ETIFAR
7597467001570;ADH DURAPOR 2X10YDS PLASTIC COVER 1X6PROMEINT
7597467001617;ADH MICROP. 2X10YDS PLASTIC COVER 1X6PROTEINT
7597467001600;ADH MICROP.1/2X10YDS PLASTIC COVE 1X24PROTEIN
7597467001594;ADH MICROP.1X10 YDS PLASTIC COVER1X12 PROTEIN
7597467001655;ADH TRANS. 2X10 YDS PLASTIC COVER 1X6 PROTEIN
7597467001631;ADH TRANS.1X10 YDS PLASTIC COVER 1X12 PROTEIN
7597467001648;ADH TRANSP.1/2X10 YDS PLASTIC COVE 1X24PROME.
7597467001587;ADH.DURAPOR 1X10 YDS PLASTIC COVER X12PROMEIN
7597467000641;ADHESIVO DURAPORE 2¨X5 YDS CAJA X6 PROMEINT
7597467000665;ADHESIVO MICROPORE 1¨X5 YDS CAJA X12 PROMEI
7597467000672;ADHESIVO MICROPORE 2¨X5 YDS CAJA X 6 PROMEINT
7597467000849;ADHESIVO MICROPORE 3 X5YDS CAJA X 6 PROMEINT
796029455289;ADHESIVO PLAST TRANSP 2,54CMX 4,57 CJA X 12 B
723592772703;ADHESIVO TELA 5.08CM X 9,14MT 2¨ CAJA X 6 BRI
7597467000702;ADHESIVO TRANSPORE 1¨X5 YDS CAJA X12 PROMEIN
7597467000719;ADHESIVO TRANSPORE 2¨X5 YDS CAJA X 6 PROMEINT
6920210513029;AEROCHAMBERS ADULTO BIO-MERCY
6920210513012;AEROCHAMBERS PEDIATRICO BIO-MERCY
7591818210406;AEROFLAT SUSP ORAL 80 MG X 20 ML COFASA
7591818210321;AEROFLAT X 30 CAPSULAS COFASA
7591196007186;AFLAMAX 50 MG  X 10 TAB OFTALMI
7591196004451;AFLAMAX 50 MG  X 20 TAB OFTALMI
7591619163024;AFOKLIN 10 MG X 20 COMP KLINOS
7591619163017;AFOKLIN 5 MG X 20 COMP KLINOS
7591619163031;AFOKLIN GOTAS 15 ML KLINOS
7596211001156;AGUA MICELAR ZOAH
7591956110248;AGUA OXIGENADA 10 V/V 3% 1000CC EL GUARDIAN
7591956110217;AGUA OXIGENADA 10 V/V 3% 120CC EL GUARDIAN
7591956110224;AGUA OXIGENADA 10 V/V 3% 240CC EL GUARDIAN
7591956110231;AGUA OXIGENADA 10 V/V 3% 500CC EL GUARDIAN
7593255000114;AGUA OXIGENADA 3% 10 VOL X 500 CC
7593255000138;AGUA OXIGENADA 3% 3.785ML X 1 ALNA
7597467000771;AGUJA ESPINAL NRO 25G X 1 CAJA X 50 PLUSMED
7597467000788;AGUJA ESPINAL NRO 26G X 1 CAJA X 50 PLUSMED
7597467000795;AGUJA ESPINAL NRO 27G X 1 CAJA X 50 PLUSMEDIC
7597467001693;AGUJA HIPODERMICA 23 X 1 1/2 CAJA X 100 PLUSM
7597467001686;AGUJA HIPODERMICA 23 X 1 CAJA X 100 PLUSMEDIC
7597467001709;AGUJA HIPODERMICA 30 X 1/2 CAJA X 100 PLUSMED
7703763169405;AIREX 0,05% X 15ML
7591818111017;AIRFEN ADULTO 0.05% X 15ml COFASA
7591818111024;AIRFEN PEDIATRICO 0.025% X 15ml COFASA
7591196002563;AIRON 10MG X 10 TA OFTALMI
7591196002808;AIRON 10MG X 30 TAB OFTALMI
7591196002952;AIRON 4MG  X 10 TA OFTALMI
7591196002945;AIRON 4MG  X 30 TAB OFTALMI
7591196002792;AIRON 5MG  X 30 TAB OFTALMI
7591196002549;AIRON 5MG X 10 TA OFTALMI
7592601100645;ALANTAMIDA 0,5%-0,4%CREMA X 20GRS MEYER
7598981000414;ALBENDANZOL SUSP ORAL 400mMG/5ML X 10ML VITAL
7591519007022;ALBENDAZOL 200 MG TAB X 2 T. FRUT CALOX
7594001100263;ALBENDAZOL 200 MG X 2 TABLETAS PLUSANDEX
7703712036239;ALBENDAZOL SUSP 4% X 50 SACHETS QUALITYMED
7592454120364;ALBENDAZOL SUSP 400MG/20ML PEDIATRIC LA SANTE
7750215796634;ALBENDAZOL SUSP. ORAL 100MG / 5ML 20ML PORTUG
7599028000589;ALCANFOR 10GR LYA
7591616000278;ALCOHOL ABSOLUTO 1LT BIOFARCO
7599028000039;ALCOHOL ABSOLUTO 96% 30ML LYA
7591616000285;ALCOHOL ABSOLUTO X 240CC BIOFARCO
7591616000308;ALCOHOL ABSOLUTO X 500CC BIOFARCO
7596139004277;ALCOHOL AL 70% 240ML  SOMTEX
7592044000113;ALCOHOL ANTISEPTICA AL 70% X 1000CC EL GUARDI
7592044000083;ALCOHOL ANTISEPTICA AL 70% X 120CC EL GUARDIA
7592044000090;ALCOHOL ANTISEPTICA AL 70% X 240CC EL GUARDIA
7592044000106;ALCOHOL ANTISEPTICA AL 70% X 500CC EL GUARDIA
7593255000275;ALCOHOL ANTISEPTICO AL 70%  950 CC ALNA
7591616001992;ALCOHOL ANTISEPTICO AL 70% X 1000ML BIOFARCO
7593255000244;ALCOHOL ANTISEPTICO AL 70% X 100CC  ALNA
7593255001470;ALCOHOL ATOMIZADO 120 CC X 1 ALNA
7593255001494;ALCOHOL ATOMIZADO 500 CC X 1 ALNA
7591808526258;ALDER CREMA ANTI-ESTRIAS 80G VITA
7591196002693;ALERGOT AL 0.05% SOL OFT X 5CC OFTALMI
7591196003430;ALFADYN 0,20% SOL OFT X 5ML OFTALMI
733739100184;ALFALFA 650MG X 250 TAB NOW
7592803003959;ALGIOL 2,5 MG COMP x 30 DOLLDER
7592803003973;ALGIOL 5 MG COMP x 30 DOLLDER
7592803004147;ALGIOL HCT 5MG - 6.25 MG 30 COMP DOLLDER
7597467000733;ALGODON ROLLO 500GR PLUSMEDIC
7592806133011;ALGOREN 10 MG EST. X 20 TABLETAS RONAVA
7592806133028;ALGOREN 40 MG EST. X 20 TABLETAS RONAVA
7591243801620;ALIPAL FORTE  D/N X 6 TAB  BIOTECH
7592432000084;ALIVAX FORTE 650 MG DISP X 25 BLISTER VIVAX
7592432010335;ALIVAX FORTE 650mg CAP x 10 CONSUMO
7591585116000;ALIVET 4D (DIAS X8CR + NOC X4CR) LETI
7591585116178;ALIVET LIMON 10G GRA X 6 SOBRES GENVEN
7591585116673;ALIVET NOCHE FORTE 10G GRAN X6 SOB LETI
7591585216755;ALIVET PEDIAT 125MG-0,5MG/5ML SOL ORAL GENVEN
7703763722686;ALLERFEX 120mg x 10 TAB REC PHARMETIQUE
7591585112439;ALLIXON NARANJA FCO X 240ML GENVEN
18906047594900;ALOPURINOL 100 MG X 100 TABLETAS JMW
7598176000137;ALOPURINOL 100 MG X 30 TAB ANGELUS
7591020005296;ALPRAM 0.5 MG X 30 TAB VALMOR
7591020005302;ALPRAM 1.0 MG X 30 TAB VALMOR
7591020005319;ALPRAM 2.0 MG X 30 TAB VALMOR
7591519317824;ALPRAMACK 1MG X 30 TAB MCK
7591519000467;ALPRAZOLAM 0.5MG TAB X 30 CALOX
7591519001495;ALPRAZOLAM 1MG TAB X 30 CALOX
7598578000391;ALPRAZOLAM 1MG X 30 TAB DAC 55
7592601201045;ALSART 160MG X 10 CAP MEYER
7592601201052;ALSART 160MG X 30 CAP MEYER
7592601201021;ALSART 80MG X 10 CAP MEYER
7592601201038;ALSART 80MG X 30 CAP MEYER
8902502117045;ALUMA D SUSPENSION 200 ML LATTAN
7592806133042;ALURON TAB 100MG X 30 RONAVA
7592806133097;ALURON TAB 300MG X 20 COMP RONAVA
7593090000089;AMARENFEM 150 MG X 1 CAPS BLANDA FC PHARMA
7501165006072;AMARYL M 2MG  - 1000 MG X 16 COMP REC SANOFI
7592454120203;AMBROXOL 15 MG/5ML JBE PED  X 120ML  LA SANTE
7592454120302;AMBROXOL 30 mg/5 ml JBE X 120 ml AD  LA SANTE
7594000850923;AMBROXOL 30MG/5ML JBE ADU X 120ML BIOQUIMICA
7598981000605;AMBROXOL JARABE PED 15MG/5ML X 120 ML JMW
7594000850909;AMBROXOL PED JBE 15MG/5ML X 120ML BIOQUIMICA
7594000851593;AMBROXOL-LORATADINA JBE 30MG/5ML X 120ML BIOQ
7594000851586;AMBROXOL-LORATADINA JBE 30MG/5ML X 60ML BIOQ
8906112611290;AMICOPRA 500 MG/2ML IM/IV ADN MEDICAL
8908003460512;AMIKACINA 100 MG/2 ML X 10 AMP KMPLUS
736372230058;AMIKACINA 500MG IM/IV X 1 VIAL GLOBAL MEDIC
6942189211454;AMIKACINA AMP 500MG/2ML  X 10 AMP KMPLUS
8904180213057;AMINOFILINA 250MG/10ML (NEUMIFILIN) X5 AMP
18906047595525;AMIODARONA + HIDROCLORURO 200MG X 100 TAB JMW
8904306500856;AMIODARONA - PRISMADARONE 200MG X100TAB PRISM
7591243801750;AMIODARONA 200MG X 10 TAB BIOTECH
7591020003131;AMIODARONA 200MG X 10 TAB GENCER
7591020003247;AMLODIPINA 10 MG X 10 TAB GENCER
7591519001358;AMLODIPINA 10MG x 10 TAB. CALOX
7591585178176;AMLODIPINA 10MG x 10 TAB.GENVEN
7597758000763;AMLODIPINA 10MG X 30 TAB ALESS PHARMACEUTICAL
7591519001648;AMLODIPINA 10mg x 30 TAB. CALOX
7592454887014;AMLODIPINA 5 MG TAB X 10 LA SANTE
7468999191070;AMLODIPINA 5 MG X 100 TAB  ALFA
18906047595136;AMLODIPINA 5 MG X 100 TABLETAS JMW
7598981002456;AMLODIPINA 5 MG X 30 TAB JMW
8901463160855;AMLODIPINA 5MG / VLSARTAN 160MG TAB X 10 BIUM
7591585178169;AMLODIPINA 5MG X 10 COMP LETI
7591519001334;AMLODIPINA 5MG X 10 TAB. CALOX
7591585278166;AMLODIPINA 5MG X 30 COMP LETI
7597758000756;AMLODIPINA 5MG X 30 TAB ALESS PHARMACEUTICALS
8903726266663;AMLODIPINA 5MG X 30 TAB BIUMAK
7591519001655;AMLODIPINA 5MG X 30 TAB. CALOX
7591585278173;AMLODIPINA COMP 10MG X 30 GENVEN
7598176000359;AMLODIPINA-VALSARTAN 5/160MG X 30 TAB ANGELUS
7750215007822;AMLODIPINO  10MG X 100 TAB PORTUGAL
8699525282507;AMOKLAVIN-BID 400/57MG SUSP ORAL X 70ML
7591818210178;AMOVIN 500MG X 6 TAB COFASA
7750215007204;AMOXIC./AC.CLAVULAN.250MG/62.5MG X 60ML SUSP
18906047594481;AMOXICILI +ACIDO CLAVULANI 875/125MG X100 JMW
7598578000667;AMOXICILI+AC.CLAV 600MG+42,9MG PVO P/SUSP DAC
8901463131206;AMOXICILINA 125 MG/5 ML BIUMAK
7703712033344;AMOXICILINA 250MG/5ML QUALITYMED
7598252101024;AMOXICILINA 250MG/5ML X 60ML DISTRILAB
7703763070282;AMOXICILINA 500MG CAP X 12 VZLA  LA SANTE
7598981002463;AMOXICILINA 500MG X 10 CAPSULAS JMW
7598578000025;AMOXICILINA 500MG X 10 TAB DAC55
7598981000421;AMOXICILINA 500MG X 100 CAPSULAS JMW
6921875011134;AMOXICILINA CAP 500 MG X 10 KMPLUS
7591585470492;AMOXICILINA CAP 500MG X 12 CAP GENVEN
7598578000292;AMOXICILINA-AC.CLAV 875MG-125MG 10 TAB DAC 55
7591585173195;AMOXICILINA-AC.CLAV 875MG-125MG X14CR GENVEN
7591519000610;AMOXICILINA/AC CLAV 400-57MG/5ML X 70 ML P.SU
7591519000627;AMOXICILINA/AC CLAV 875MG/125MG X 14 TAB CALO
7598800000137;AMOXICILINA/AC CLAV 875MG/125MGX14 TAB JD
7591020000758;AMOXIVAL 250MG/5ML X 90 ML VALMOR
7591020008082;AMOXIVAL 750MG/5ML X 70 ML VALMOR
7591020080613;AMOXIVAL 875MG X 20 TAB REC VALMOR
7591020009003;AMOXIVAL A.C. 250/62.50 MG X 60ML PPSO VALMOR
7591020009010;AMOXIVAL A.C. 400/57 MG X 60ML PPSO VALMOR
7591020000710;AMOXIVAL CAP 500MG X 12 VALMOR
6921875011141;AMPICILINA CAP 500 MG X 10 KMPLUS
6942189304347;AMPICILINA SUSP ORAL PED 125MG/5ML X 100 ML K
7703763875993;AMPICILINA SUSP PED 250MG/5MLX60ML  LA SANTE
7591585213549;AMPROVIL 0,5 MG X 20 CAP LETI
75971304;AMTACILYN 1.5GR AM IV/IM ALESS PHARMA
7591061399941;AMY CHAMPU PARA BEBES 200 CC PHARSANA
7591061399958;AMY MOTAS DE ALGODON 50P PHARSANA
7591061503058;AMY SEC TH MANZANILLA 72P PHARSANA
7592454003063;ANALPER FEM PLUS 200mg-10mg TAB x 10 OTC
7592454000802;ANALPER FORTE 650 mg TAB X 10 OTC
7592454000789;ANALPER NAX 250 MG CAP X 10 OTC
7594001101581;ANANTY FORTE SUSP 160MG/5ML X 120ML PLUSANDEX
7594001101673;ANANTY FORTE SUSP 160MG/5ML X 60ML PLUSANDEX
7594001101024;ANANTY SUSP PEDIAT 120MG/5ML X 120ML PLUSANDE
7593090001024;ANAPIR 400 MG X 10 CAPS BLANDAS FC PHARMA
7591955003084;ANASMOL 2,5 MG X 30 TAB ROEMMERS
7591955003091;ANASMOL 5MG X 30 TAB ROEMMERS
7591955000878;ANASMOL COMP 2.5 MG X 10 ROEMMERS
7591955000915;ANASMOL COMP 5MG X 10 ROEMMERS
7592349911244;ANDANTOL JALEA X 20 G (NF) VARGAS
7591619001166;ANGRIP FORTE DIA X 10 COMP MEGALABS
7591619520636;ANGRIP FORTE DIA X 10/NOCHE X 4 COMP KLINOS
7591619001159;ANGRIP FORTE NOCHE X 5 COMP REC MEGALABS
7591619518985;ANGRIP NOCHE (500:3) MG X 4 COMP KLINOS
7502214982446;ANILLO VIBRADOR VIBRAS DE PASION X1 + PRESER
8906009231020;ANOMEX X 10 BLISTER SUPOSITORIOS BLISS GVS
7594000490129;ANSILAN 0.5 MG X 30 ROWE
7591519051889;ANTAAR 1,25MG X 30 TAB CALOX
7591519317732;ANTAAR 10MG X 10 TAB CALOX
7591519051902;ANTAAR 10MG X 30 TAB CALOX
7591519317749;ANTAAR 2,5MG + HCT 6,25MG X 10 TAB CALOX
7591519317718;ANTAAR 2,5MG X 10 TAB CALOX
7591519051872;ANTAAR 2,5MG X 30 TAB CALOX
7591519317756;ANTAAR 5MG + HCT 6,25MG X 10 TAB CALOX
7591519317343;ANTAAR 5MG + HCT 6,25MG X 30 TAB CALOX
7591519317725;ANTAAR 5MG X 10 TAB CALOX
7591519051896;ANTAAR 5MG X 30 TAB CALOX
7467922680056;ANTIACIDO SABOR A CEREZA (ACIFAR) X 60TAB JMW
7467922681688;ANTIACIDO SABOR A CEREZA (ACIFAR) X40 TAB JMW
7467922680025;ANTIACIDO SUSP ORAL FRESA (ACIFAR) 150 ML JMW
7592349722925;ANTIFOM 40MG X 10 COMP VARGAS
7592349001723;ANTIFOM 80mg/mL SUSP ORAL POR 20mL VARGAS
7592349001068;ANTIFOM FORTE 160MG COMP. REC. x10 VARGAS
7591821102095;ANTILAX 2mg TAB X 10 FARMA
7591585214706;ANTUX 6MG/ML SOL ORAL X 180ML GENVEN
7591196002785;APIRET 180 MG/5ML SOL ORAL X 120ML OFTALMI
7591196007155;APIRET 180 MG/5ML SOL ORAL X 60ML OFTALMI
7591196006462;APIRET 500 MG X 10 TAB OFTALMI
7592601000013;APLACAL 750MG DISP TAB MAST SAB BANANA MEYER
7592601000020;APLACAL 750MG DISP TAB MAST SAB FRAMB MEYER
7592601000037;APLACAL 750MG DISP TAB MAST SAB MANDARI MEYER
7592601303152;APLACAL 750MG X 10 TAB MAST SAB. MENTA MEYER
7592601303176;APLACAL 750MG X 10 TAB MAST SAB.BANANA MEYER
7592601303145;APLACAL 750MG X10 TAB MAST SAB.FRAMBUES MEYER
7592601303169;APLACAL 750MG X10TAB MAST SAB.MANDARINA MEYER
7592601000044;APLACAL DISPENSADOR 750MG X 30 BLISTER MENTA
742033994696;APOSITOS CIRCULARES 100UND BRIUTCARE
742033994689;APOSITOS CLASICOS 20UND BRIUTCARE
742033994726;APOSITOS FLEXIBLES 20UND BRIUTCARE
742033994719;APOSITOS INFANTILES 20UND BRIUTCARE
742033994702;APOSITOS MIXTOS 20UND BRIUTCARE
742033994733;APOSITOS TRANSPARENTES 20UND BRIUTCARE
733739110312;APPLE CIDER VINEGAR 450MG X 180 CAP NOW
3582910027768;APROVEL 150MG TABCO BL14 S3 M36 XB SANOFI
7593090000034;APYRENE 650 MG X 10 CAPS BLANDAS FC PHARMA
7703281002024;AQUATOP CREMA REST. INTENSIVA X 250 G MEDIHEA
7703281020257;AQUATOP LIMPIADOR LIQUIDO X 400ML MEDIHEALTH
7591243801965;ARADROXINA 200 MG TABLETAS RECUB EST 20 TAB
7591821904385;ARANDA 2,5MG/50MG CAP X 30 FARMA
7591821210714;ARANDA 5MG/100MG CAP x 10 FARMA
7591821904378;ARANDA 5MG/100MG CAP x 30 FARMA
7592601100126;ARBIXIL 15MG-10MCG/5ML JBE X 120ML MEYER
7592601100638;ARBIXIL 7.5MG-5MCG/5ML JBE PED X 120ML MEYER
7592601100683;ARBIXIL SOL. GOTAS 15 ML MEYER
7750215023792;ARCODEX (ETORICOXIB) 120 MG X 7 TAB REC PORTU
7591020009157;ARCOVAL  60MG X 7 TAB REC. VALMORCA
7591020009164;ARCOVAL  90MG X 7 TAB REC. VALMORCA
7591243802115;ARESAN 40MG X 30 TAB BIOTECH
7730512631098;ARGENZIL (SULFADIAZINA DE PLATA 1%) 500G AVPH
7593090001079;ARNICA FC AEROSOL 64 GR FC PHARMA
7593090000676;ARNICA FC FORTE GEL EN ROLL-ON 90GR FC PHARMA
7593090000799;ARNICA FC FORTE GEL TARRO 250G
7593090000201;ARNICA FC GEL CORPORAL ROLL-ON 90GR FC PHARMA
7593090000218;ARNICA GEL PLUS TARRO 250G FC PHARMA
7593090000775;ARNICA GEL TARRO 250G FCPHARMA
7592806133066;ARTENOLOL 100 MG X 30 TAB RONAVA
7591585213402;ARTRODAR  CAP 50MG X 30 LETI
7591821210660;ARUDIL 10MG  TAB. REC. X 30 FARMA
7591821210011;ARUDIL 15MG  TAB. REC. X 10 FARMA
7591821210561;ARUDIL 15MG  TAB. REC. X 30 FARMA
7591821210578;ARUDIL 20 MG TAB REC X 30 - LF FARMA
7591821210028;ARUDIL 20MG  TAB. REC. X 10 FARMA
7591585261236;ASAPROL 81MG X 100COMP LETI
7591585561237;ASAPROL 81MG X 40 COMP LETI
7591585213358;ASARAP 10MG X 30 COMP REC LETI
7591585313331;ASARAP 15MG X 10 COMP REC LETI
7591585113337;ASARAP 15MG X 20 COMP REC LETI
7591585213334;ASARAP 15MG X 30 COMP REC LETI
7591585313348;ASARAP 20MG X 10 COMP REC LETI
7591585113344;ASARAP 20MG X 20 COMP REC LETI
7591585213341;ASARAP 20MG X 30 COMP REC LETI
7592601100140;ASCAFYL  X 10 TABS MEYER
7592601100676;ASCAFYL PLUS X 10 TAB MEYER
7592601301776;ASCAFYL SC 0,4MG - 80MG GOTAS X 15ML MEYER
7591619000589;ASTEFOR 500 MG X 10 COMP REC ROWE
7591519000986;ATAMEL 500MG X 20 TAB CALOX
7591257000552;ATAMEL FORTE TAB 650MG X 10 TAB PFIZER
7591519000993;ATAMEL PLUS 500MG-32MG X 10 TAB
7593090001529;ATAPEC 100 MG 30 TAB FC PHARMA
7598981000469;ATENOLOL 100MG X 30 TAB JMW
675696259966;ATENOLOL 50MG X 30 TAB BUKA
7703763090358;ATENOLOL TAB 100MG X 30 LA SANTE
7591585175021;ATENOLOL TAB 50MG X 30 LETI
7501384546540;ATOMOXETINA 40MG X 14 CAP PSICOFARMA
7591818210512;ATORVACOF 20 mg TAB X 14 COFASA
7591585373441;ATORVASTATINA  20MG X 30CR LETI
8904306502270;ATORVASTATINA - PROVATOR 40mg TAB X100 PRISM
7591519051551;ATORVASTATINA 20 MG X 30 TAB CALOX
7750215028315;ATORVASTATINA 20MG X 100 TAB PORTUGAL
