barcode;name
7598484000010;ACETAMINOFEN 100 MG / ML GOTAS PEDIATRICO 15 ML QUIM-FAR
7591818132074;ACETAMINOFEN 120 MG / 5 ML JARABE 120 ML COFASA
7598008000014;ACETAMINOFEN 120 MG / 5 ML JARABE 120 ML LAND
7598484000027;ACETAMINOFEN 120 MG / 5 ML JARABE PEDIATRICO 120 ML QUIM-FAR
7594000850855;ACETAMINOFEN 120 MG / 5 ML SOLUCION ORAL PEDIATRICO 100 ML BIOQUIMICA
7591196006387;ACETAMINOFEN 120 MG / 5 ML SOLUCION ORAL PEDIATRICO 120 ML MEDIGEN
7591196006486;ACETAMINOFEN 120 MG / 5 ML SOLUCION ORAL PEDIATRICO 60 ML MEDIGEN
6942189530319;ACETAMINOFEN 120 MG / 5 ML SUSPENSION ORAL PEDIATRICO 120 ML KMPLUS
8904324102254;ACETAMINOFEN 120 MG / 5 ML SUSPENSION ORAL PEDIATRICO 120 ML ZAKIMED
7708867432455;ACETAMINOFEN 120MG/5ML USO PEDIATRICO JARABE FELIRNI
7467217703385;ACETAMINOFEN 125 MG / 5 ML JARABE 60 ML S&G
7592454003100;ACETAMINOFEN 150 MG / 5 ML JARABE PEDIATRICO X 120 ML LA SANTE
7703712035454;ACETAMINOFEN 150 MG / 5 ML JARABE SABOR CEREZA 90 ML COASPHARMA
7703038065630;ACETAMINOFEN 150 MG / 5 ML SUSPENSION ORAL SABOR CEREZA 90 ML LAPROFF
7708867432103;ACETAMINOFEN 150MG/5ML USO PEDIATRICO JARABE FELIRNI
6942189530180;ACETAMINOFEN 160 MG / 5 ML SUSPENSION ORAL PEDIATRICO 100 ML KMPLUS
7597758000459;ACETAMINOFEN 180 MG / 5 ML  JARABE FRAMBUESA 120 ML ALESS
7590027002055;ACETAMINOFEN 180 MG / 5 ML JARABE 120 ML SPEFAR
7594000850824;ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL PEDIATRICO 120 ML BIOQUIMICA
7591585177780;ACETAMINOFEN 180 MG / 5 ML SOLUCION ORAL PEDIATRICO 90 ML GENVEN
7598008002100;ACETAMINOFEN 180MG/5MG JARABE 120 ML LAND
7708867432257;ACETAMINOFEN 180MG/5ML USO PEDIATRICO JARABE FELIRNI
7598429001102;ACETAMINOFEN 1G / 100 ML INFUSION INTRAVENOSA 100 ML CAMBRIDGE
6942189530197;ACETAMINOFEN 250 MG / 5 ML SUSPENSION ORAL PEDIATRICO 100 ML KMPLUS
7591519004144;ACETAMINOFEN 500 MG X 10 TABLETAS CALOX
7703712035362;ACETAMINOFEN 500 MG X 10 TABLETAS COASPHARMA
7591585376657;ACETAMINOFEN 500 MG X 10 TABLETAS GENVEN
7703038040293;ACETAMINOFEN 500 MG X 10 TABLETAS LAPROFF
720524031105;ACETAMINOFEN 500 MG X 100 TABLETAS LATTAN MEDIC
7594000850626;ACETAMINOFEN 500 MG X 12 TABLETAS BIOQUIMICA
7708867432295;ACETAMINOFEN 500MG CLORFENIRAMINA MALEATO 4MG X 10 TABLETAS FELIRNI
8906005118349;ACETAMINOFEN 650 MG / CAFEINA 65 MG X 10 TABLETAS FARMAMED
7591519001228;ACETAMINOFEN 650 MG X 10 MOROCHO CALOX
7591519005264;ACETAMINOFEN 650 MG X 10 TABLETAS CALOX
7592454001243;ACETAMINOFEN 650 MG X 10 TABLETAS LA SANTE
7594001101604;ACETAMINOFEN 650 MG X 10 TABLETAS PLUSANDEX
7590027001669;ACETAMINOFEN 650 MG X 10 TABLETAS SPEFAR
7591585179050;ACETAMINOFEN 650 MG X 30 TABLETAS GENVEN
7591585379054;ACETAMINOFEN 650 MG X 8 BLISTER X 10 TABLERTAS GENVEN
7590027002079;ACETAMINOFEN 750 MG X 10 TABLETAS SPEFAR
7594000851234;ACETAMINOFEN CLORFENIRAMINA 125 MG - 1 MG / 5 ML SOLUCION ORAL PEDIATRICO 120 ML BIOQUIMICA
7703038067269;ACETAMINOFEN JARABE PEDIATRICO SABOR CEREZA 120 ML LAPROFF
7598455000537;ACETAMINOFEN SOL ORAL 180 MG / 5 ML X 120 ML BIOGLASS
7597758000770;ACETAMINOFEN SUPOSITORIOS PEDIATRICO 125 MG X 6 UNIDADES ALESS
7597758000787;ACETAMINOFEN SUPOSITORIOS PEDIATRICO 250 MG X 6 UNIDADES ALESS
6942189530159;ACETAMINOFEN SUSPENSION ORAL PED 125 MG / 5 ML X 60 ML (KMPLUS)
7708867432172;ACETAMINOFEN+ CLORFENIRAMINA 125MG-1MG/5ML JARABE 120ML FELIRNI
7598008002407;ACETAMINOFEN+CLORFENIRAMINA 125MG+1MG/5ML JARABE 120 ML LAND
8906036366337;ACETAZOLAMIDA 250 MG X 20 TABLETAS ZUZU
7702184767276;ACETILCISTEINA 200MG X 30 SOBRES 1.8G ECAR
7592806121018;ACETOBEN 100 MG / 5 ML JARABE 120 ML RONAVA
8904209444387;ACETONIDO DE TRIAMCINOLONA 10 MG / ML SOLUCION INYECTABLE I.A / I.S X 1 ML VINCENTI
7591020006156;ACEVAL 100 MG / ML SOLUCION GOTAS PEDIATRICA 30 ML
7591020008839;ACEVAL 180 MG / 5 ML SUSPENSION ORAL PEDIATRICA 120 ML
7591020000611;ACEVAL 650 MG X 10 TABLETAS
7591020008471;ACEVAL 650 MG X 50 TABLETAS
7591020009423;ACEVAL DIA X 8 TABLETAS VALMORCA
7591020009430;ACEVAL NOCHE X 6 TABLETAS VALMORCA
7707355050034;ACIBATH -S DERMOLIMPIADOR 120 G SEGFRIED
7591585311634;ACICLOR 5% CREMA 10 GR
7591585111838;ACICLOR A.P 1 GR X 10 COMPRIMIDOS LETI
7598252101307;ACICLOVIR 200 MG X 10 TABLETAS DISTRILAB
8906005117878;ACICLOVIR 200 MG X 10 TABLETAS DROTAFARMA
7598008000090;ACICLOVIR 200 MG X 10 TABLETAS LAND
720524031174;ACICLOVIR 200 MG X 10 TABLETAS LATTAN MEDIC
7591519005639;ACICLOVIR 200 MG X 25 TABLETAS CALOX
8906159251930;ACICLOVIR 200MG X 10 TABLETAS ZUZU
7707236126483;ACICLOVIR 250 MG SOLUCION INYECTABLE I.V X 10 AMPOLLAS VITALIS
8901872008359;ACICLOVIR 400MG X 10 TABLETAS DROTAFARMA
7596347802993;ACICLOVIR 5 % CREMA TOPICO 20 GR X 1 UNIDAD SGG
7598252101345;ACICLOVIR 5% CREMA 10 GR DISTRILAB
7591519001099;ACICLOVIR 5% CREMA 10G CALOX
6942189211324;ACICLOVIR 5% CREMA TOPICA 5 GR KMPLUS
736372692061;ACICLOVIR 5% CREMA USO TOPICO 20 GR H&M
8906130230497;ACIDO ACETILSALICILICO 81 MG X 10 TABLETAS BRIX MEDIC
7708867432769;ACIDO ACETILSALICILICO 81MG X 30 TABLETAS FELIRNI
8904159499772;ACIDO ASCORBICO 100MG/ML X 10 AMP - 10ML  ADN MEDICAL
354;ACIDO ASCORBICO 500MG/2ML X 2AMP ZUZU
7599381000011;ACIDO BORICO 10 GR FARMAX
17598252101571;ACIDO FOLICO 10 MG / 2 ML SOLUCION INYECTABLE I.M / I.V X 10 AMPOLLAS DISTRILAB
7591619501048;ACIDO FOLICO 10 MG / ML SOLUCION INYECTABLE I.M X 3 AMPOLLAS KLINOS
8906159251510;ACIDO FOLICO 10 MG / ML SUSPENSION ORAL 30 ML ZUZU
7592601303206;ACIDO FOLICO 10 MG X 10  TAB  (MEYER)
8906130233306;ACIDO FOLICO 10 MG X 10 TABLETAS BRIX MEDIC
7591585171498;ACIDO FOLICO 10 MG X 20 COMPRIMIDOS GENVEN
7591619501024;ACIDO FOLICO 10 MG X 20 COMPRIMIDOS KLINOS
7591519004892;ACIDO FOLICO 10 MG X 20 TABLETAS CALOX
7592349926194;ACIDO FOLICO 10 MG X 20 TABLETAS GENERICO DE CALIDAD
7594001101338;ACIDO FOLICO 10 MG X 20 TABLETAS PLUSANDEX
7591020008174;ACIDO FOLICO 10 MG X 30 COMPRIMIDOS GENCER
7591619000220;ACIDO FOLICO 10 MG X 30 COMPRIMIDOS KLINOS
7598833000012;ACIDO FOLICO 10 MG X 30 TABLETAS (LAB. VERMA)
7591519001112;ACIDO FOLICO 10 MG X 30 TABLETAS CALOX
7592601301486;ACIDO FOLICO 10 MG X 30 TABLETAS MEYER
7594001101345;ACIDO FOLICO 10 MG X 30 TABLETAS PLUSANDEX
7708867432653;ACIDO FOLICO 10MG X 30 TABLETAS FELIRNI
8906078135618;ACIDO FOLICO 5 MG X 10 TABLETAS ZUZU
7591585271488;ACIDO FOLICO 5 MG X 30 COMPRIMIDOS GENVEN
7594001101314;ACIDO FOLICO 5 MG X 30 TABLETAS PLUSANDEX
7468191034779;ACIDO FUSIDICO 2% CREMA TOPICA 20 GR S.R.L
7595152002635;ACIDO IBANDRONICO 150 MG X 1 TABLETA REMENY
8904324101325;ACIDO MEFENAMICO 500 MG X 10 COMPRIMIDOS ZUZU
18906047595709;ACIDO SALICILICO UNGUENTO 6% X 20 GR UNILINK
8906159251855;ACIDO TRANEXAMICO 500 MG X 10 TABLETAS ZUZU
8906130230787;ACIDO VALPROICO 500 MG X 10 TABLETAS BRIX MEDIC
7598008001998;ACIDO VALPROICO 500 MG X 10 TABLETAS LAND
7707236121761;ACIDO ZOLEDRONICO 4 MG / 5 ML SOLUCION INYECTABLE I.V X1 AMPOLLA VITALIS
7591519051865;ACLER 150 MG X 1 TABLETA
787790467557;ACONDICIONADOR ETERNAL HAIR PRO CON CELULAS MADRE 473 ML ETERNAL
6616000046166;ACONDICIONADOR NUTRICAP SECO-DAADO X 100 ML
7795368002249;ACRYLARM 0.2% GEL OFTALMICO 10 GR
7594001101895;ACTICAR 1G/10 ML SOLUCION ORAL 120 ML
719869544852;ACTIMOVE EPIFAST FOR KIDS TALLA UNICA PED X 1 UND REF 19-601304
4042809222425;ACTIMOVE TALOWRAP TOBILLERA ELASTICA TALLA M REF 73314-01 BSN MEDICAL
4042809403190;ACTIMOVE UMERUS AIR INMOV DE HOMBRO Y BRAZO TALLA L REF 74556-12 BSN MEDICAL
4042809403183;ACTIMOVE UMERUS AIR INMOV DE HOMBRO Y BRAZO TALLA M REF 74556-11 BSN MEDICAL
4042809438574;ACTIMOVE UMERUS AIR INMOV DE HOMBRO Y BRAZO TALLA XL REF 74556-11 BSN MEDICAL
4042809016635;ACTIMOVE UMERUS COMFORT INMOV DE HOMBRO TALLA XL REF 72819-42 BSN MEDICAL
7707274721053;ACTIVA 21 X 21 GRAGEAS FAES FARMA
7591353515608;ACTIVA SEC PERDIDAS OCASIONALES X 40 UNIDADES
7591353680542;ACTIVA SEC TOALLAS SANITARIAS PERDIDAS ABUNDANTES X 10 UNIDADES
7597189000264;ACTIVITION EXTREME X 30 CAPSULAS BLANDAS
7591821290372;ACTUMIR 25 MG X 30 TABLETAS
7592904000604;ACUAGEL 1 LITRO SULCAGEL
7592904000079;ACUAGEL 250 CC SULCAGEL
7592904000086;ACUAGEL GALON SULCAGEL
7591309003692;ADEL UNGUENTO 50 GR
7592710000843;ADELGASEN 400 MG X 60 CAPSULAS HERBAPLANT
7703153028053;ADELLA 2 MG - 0.03 MG X 21 TABLETAS
7591844000590;ADEMINA CREMA DERMOPROTECTORA 60 GR
7591844000583;ADEMINA KIDS CREMA ANTIPAALITIS 60 GR
7591844000743;ADEMINA KIDS LOCION HIDRATANTE BLANCA 170 GR
7591844000750;ADEMINA KIDS LOCION HIDRATANTE ROSADA 170 GR
7591844000439;ADEMINA PLUS CREMA CORPORAL 30 GR
7591844000606;ADEMINA SOLUCION JABONOSA ANTIBACTERIAL 190 ML
796029455210;ADHESIVO DE PAPEL COLOR PIEL 2.54 CM X 4.57 M X1 UNIDAD BRIUT CARE
796029455289;ADHESIVO DE PLASTICO TRANSPARENTE 2.54 CM X 4.57 M X1 UNIDAD BRIUT CARE
7597467000658;ADHESIVO DURAPORE 1 X 5 YDS X 12 UND PROMEINT
7597467000641;ADHESIVO DURAPORE 2 X 5 YDS X 6 UND PROMEINT
026704549546;ADHESIVO DURAPORE BLANCO 1 X 10 YDS ANTIALERGICO X 1 ROLLO 3 M
01307073870074481725;ADHESIVO DURAPORE BLANCO 3  X 10 YDS ANTIALERGICO X 1 ROLLO 3M
8057681903290;ADHESIVO EUROPOR 1.25 CM X 5 MT X 1 UND REF 807001 EUROFARM
8057681903313;ADHESIVO EUROPOR 5 CM X 5 MT X 1 UND REF 807005 EUROFARM
8057681903412;ADHESIVO EUROSILK SEDA 5 CM X 5 MT X 1 UND REF 809005 EUROFARM
8057681909186;ADHESIVO EUROTRASP 1.25 CM X 5 MT TRANSPORE X 1 UND REF 812101  EUROFARM
8057681909193;ADHESIVO EUROTRASP 2.5 CM X 5 MT TRANSPORE  X 1 UND REF 812102 EUROFARM
8057681909209;ADHESIVO EUROTRASP 5 CM X 5 MT TRANSPORE  X 1 UND REF 812105 EUROFARM
7891800398830;ADHESIVO IMPERMEABLE BLANCO 5CM X 4.5M RELA
7702098400900;ADHESIVO MICROPORE 1 X 10 YDS ANTIALERGICO PIEL X 1 UNIDAD 3M
7597467000665;ADHESIVO MICROPORE 1 X 5 YDS X 12 UND PROMEINT
7702098031340;ADHESIVO MICROPORE 1/2 X 10 YDS  ANTIALERGICO PIEL  X 1 UNIDAD 3M
7702098031333;ADHESIVO MICROPORE 2 X 10 YDS ANTIALERGICO PIEL  X 1 UNIDAD 3M
7597467000672;ADHESIVO MICROPORE 2 X 5 YDS X 6 UND PROMEINT
7702098031296;ADHESIVO MICROPORE BLANCO  1 X 10 YDS ANTIALERGICO X 1 ROLLO 3M
524015;ADHESIVO MICROPORE BLANCO 2 X 10 YDS ANTIALERGICO X 1 ROLLO 3M
524016;ADHESIVO MICROPORE BLANCO 3 X 10 YDS ANTIALERGICO X 1 ROLLO 3M
7597467001969;ADHESIVO MICROPORE COLOR PIEL 1 X 5 YDS X 12 UND PROMEINT
7597467001976;ADHESIVO MICROPORE COLOR PIEL 1/2 X 5 YDS X 24 UND PROMEINT
7597467001983;ADHESIVO MICROPORE COLOR PIEL 2 X 5 YDS X 6 UND PROMEINT
7597297000385;ADHESIVO NON-WOVEN (COLOR PIEL) 1.25 CM X 9.1M X 1 UND ZUVISS
7597297000392;ADHESIVO NON-WOVEN (COLOR PIEL) 2.5 CMX9.1M X 1 UND ZUVISS
6224000132828;ADHESIVO PAPEL PHARMAMED  5 CM X 5 M X UND REF MED505000 PHARMAPLAST
6223003734589;ADHESIVO PAPEL PHARMAMED 1.25 CM X 4.55 M X 1 UNIDAD PHARMAPLAST
6223003733605;ADHESIVO PLASTICO AIROPLAST 1,25 CM X 5 MM USO HOSPITALARIO CAJA X 24 UNIDADES
7594001564102;ADHESIVO PLASTICO AIROPLAST 1.25CM X 5M X 1 UNIDAD PHARMAPLAST
6223003733612;ADHESIVO PLASTICO AIROPLAST 2,5 CM X 5 MM USO HOSPITALARIO CAJA X 12 UNIDADES
6224000549909;ADHESIVO PLASTICO AIROPLAST 2.5 CM X 5 M X 1 UNIDAD PHARMAPLAST
7597478000357;ADHESIVO QUIRURGICO BLANCO 1.25 CM X 5 YDAS X 1 UNIDAD GDG
7597478000364;ADHESIVO QUIRURGICO BLANCO 2.5 CM X 5 YDAS X 1 UNIDAD GDG
7597478000371;ADHESIVO QUIRURGICO BLANCO 5 CM X 5 YDAS X 1 UNIDAD GDG
7597478000395;ADHESIVO QUIRURGICO PIEL 1.25 CM X 5 YDS X 1 UNIDAD GDG
7597478000401;ADHESIVO QUIRURGICO PIEL 2.5 CM X 5 YDS X 1UNIDAD GDG
7597297000354;ADHESIVO TELA 1.25 CM X 9.1 M X 1 UND ZUVISS
6223003733520;ADHESIVO TELA SILKPLAST  5 CM X 5 M X 1 UNIDAD  PHARMAPLAST
6224000132415;ADHESIVO TELA SILKPLAST 1.25 X 5 M X 1 UNIDAD PHARMAPLAST
6223003733513;ADHESIVO TELA SILKPLAST 2.5 CM X 5 M X 1 UNIDAD PHARMAPLAST
7597297000323;ADHESIVO TRANSPARENTE 1.25 CM X 9.1 M X 1 UND ZUVISS
7597297000330;ADHESIVO TRANSPARENTE 2.5 CM X 9.1 M X 1 UND ZUVISS
7597297000347;ADHESIVO TRANSPARENTE 5 CM X 9.1 M X 1 UND ZUVISS
7597467000702;ADHESIVO TRANSPORE 1 X 5 YDS X 12 UND PROMEINT
7597467000719;ADHESIVO TRANSPORE 2 X 5 YDS X 6 UND PROMEINT
524092;ADHESIVO TRANSPORE BLANCO 2 X 10 YDAS PLASTICO X 1 ROLLO 3 M
7591818210321;AEROFLAT 125 MG X 30 TABLETAS BLANDAS
7591818210406;AEROFLAT 80 MG SUSPENSION ORAL GOTAS 20 ML
7591196007186;AFLAMAX 50 MG X 10 TABLETAS
7591196004451;AFLAMAX 50 MG X 20 TABLETAS
7591619163031;AFOKLIN 10 MG / ML SOLUCION GOTAS 15 ML
7591619163017;AFOKLIN 5 MG X 20 COMPRIMIDOS
7467217702890;AGERTRAX (DESLORATADINA) 2.5 MG / 5 ML JARABE 60 ML
7594001450252;AGUA DE ALIBOUR 120 ML RECETTE MARK
7592368002930;AGUA DE ROSAS 120 ML LAB F.S.I
7592637000391;AGUA DESTILADA 500 ML N 49 BEHRENS
7594001452447;AGUA DESTILADA 500 ML RECETTE MARK
7592368003135;AGUA DESTILADA 960 ML X 1 UND  LAB F.S.I
7591956110248;AGUA OXIGENADA 3 % 1 LITRO EL GUARDIAN
7591956110217;AGUA OXIGENADA 3 % 120 ML EL GUARDIAN
7591956110224;AGUA OXIGENADA 3 % 240 ML EL GUARDIAN
7591956110231;AGUA OXIGENADA 3 % 500 ML  EL GUARDIAN
7591487000094;AGUA OXIGENADA 3% 1000 ML ALVA
7591487000063;AGUA OXIGENADA 3% 120 ML ALVA
7591487000070;AGUA OXIGENADA 3% 240 ML ALVA
7591487000087;AGUA OXIGENADA 3% 500 ML ALVA
7593255000091;AGUA OXIGENADA AL 3 % 100 ML X 1 UND ALNA
7593255000237;AGUA OXIGENADA AL 3 % 120 ML X 1 UND ALNA
7593255000107;AGUA OXIGENADA AL 3 % 240 ML X 1 UND ALNA
7593255000114;AGUA OXIGENADA AL 3 % 500 ML X 1 UND ALNA
7593255000121;AGUA OXIGENADA AL 3 % 950 ML X 1 UND ALNA
781100891476;AGUJA EPIDURAL PUNTA TUOHY 18 G X 3 1/4 REF B89147 X 1 UND DYNAMICS
7597478001477;AGUJA ESPINAL 23 G X 1 UNIDAD GDG
7597467000788;AGUJA ESPINAL 26 G X 1 UND PLUSMEDIC
1435102059912;AGUJA ESPINAL 27 G X 1 UNIDAD JHC MEDICA
810028131064;AGUJA ESPINAL BISELADA 22 G X 90 MM X 50 UND MC MEDICAL
810028130357;AGUJA ESPINAL BISELADA 25 G X 90 MM X 50 UND MC MEDICAL
810028131101;AGUJA ESPINAL BISELADA 26 G X 90 MM X 50 UND MC MEDICAL
810028131125;AGUJA ESPINAL BISELADA 27 G X 90 MM X 50 UND MC MEDICAL
3170472510025;AGUJA ESPINAL ESTERIL NARANJA 25G X 90 MM 3 1/2 X 1 UND MEDAID
7587830000384;AGUJA HIPODERMICA 25 G X 5/8 X 100 UND GROSSMED
7597830000414;AGUJA HIPODERMICA 26 G X 1/2 X 100 UND GROSSMED
7597830000056;AGUJA HIPODERMICAS 18 G X 1 1/2 ESTERIL X 100 UNIDAD  GROSSMED
7597830000230;AGUJA HIPODERMICAS 21G X 1 1/2 ESTERIL X 100 UNIDAD GROSSMED
7597830000353;AGUJA HIPODERMICAS 23 G 1 1/2 ESTERIL X 100 UNIDAD GROSSMED
7597467001709;AGUJA HIPODERMICAS 30 G X 1/2 ESTERIL X 100 UND PLUSMEDIC
084963208017;AGUJA PARA INSULINA PEN NEEDLES 32 / 5 / 32 4 MM X 100 UNIDADES EASY TOUCH
810028130395;AGUJA PARA RECOLECCION DE SANGRE ADULTO 21 G X 1 X 100 UND MC DIAGNOSTIC
810028130371;AGUJA PARA RECOLECCION DE SANGRE PED 23 G X 1 X 100 UND MC DIAGNOSTIC
1832874254161;AIMYN 0.15 MG - 0.03 MG X 28 TABLETAS FAHD
7591818111024;AIRFEN 0,025%  SOLUCION GOTAS PEDIATRICA - 15ML
7591818111017;AIRFEN 0,05% SOLUCION GOTAS ADULTO 15 ML
7591196002563;AIRON 10 MG X 10 TABLETAS
7591196002808;AIRON 10 MG X 30 TABLETAS
7591196002945;AIRON 4 MG X 30 TABLETAS PEDIATRICO
7592430000154;AJO  X 60 CAP NATURAL PREMIUM
7592946168300;AJO 400 MG X 90 CAPSULAS - ARCO IRIS
7592601100645;ALANTAMIDA CREMA 20 GR
7595152002321;ALBENDAZOL 200 MG / 5 ML SOLUCION ORAL 10 ML REMENY
8906159251954;ALBENDAZOL 200 MG X 10 TABLETAS ZUZU
7591519007022;ALBENDAZOL 200 MG X 2 TABLETAS - SABOR TUTTI FRUTI CALOX
7703038050056;ALBENDAZOL 200 MG X 2 TABLETAS LAPROFF
7598008002117;ALBENDAZOL 200MG/5ML SUSPENSION ORAL 10 ML LAND
7703712036239;ALBENDAZOL 4 % SUSPENSION 10 ML X 50 SACHETS COASPHARMA
7467217703392;ALBENDAZOL 400 MG / 10 ML SUSPENSION ORAL 10 ML S&G
7592454120364;ALBENDAZOL 400 MG / 20 ML SUSPENSION ORAL PEDIATRICO 20 ML LA SANTE
7703038050049;ALBENDAZOL 400 MG / 20 ML X 12 SOBRES LAPROFF
8906130230442;ALBENDAZOL 400 MG X 10 TABLETAS BRIX MEDIC
8904187854925;ALBENDAZOL SUSP ORAL 400 MG / 5 ML 10 ML LAB BIOMEDIC
7598650000943;ALBENDAZOL SUSPENSION ORAL 200 MG / 5 ML 10 ML JL PHARMA
7592025101204;ALBEPIR CHAMPU ANTI-CASPA 140 ML
7591062010036;ALBICAR  200 MG X 2 TABLETAS
7591062010173;ALBICAR 200 MG X 6 TABLETAS
7591062010029;ALBICAR 400 MG / 10 ML SUSPENSION ORAL 10 ML
7703153037512;ALBISEC 166.66 MG - 33.33 MG X 12 CAPSULAS VIVAX
7703153028695;ALBISEC ONE 133.33 MG - 666.67 MG X 6 CAPSULAS VIVAX
7592710000355;ALCACHOFA - CENTELLA ASIATICA 175 MG X 60 CAPSULAS HERBAPLANT
7592946005711;ALCACHOFA 300 MG X 90 CAP - ARCO
7599028000589;ALCANFOR SOBRE 10 GR LYA
7591510000329;ALCO COJIN ORTOPEDICO GRIS HEMORROIDES / COXIS
7591616000278;ALCOHOL ABSOLUTO 1 LT BIOFARCO
759745600104;ALCOHOL ABSOLUTO 120 ML X 1 UNIDAD  VITALCLINIC
7594001452416;ALCOHOL ABSOLUTO 1LT  RECETTE MARK
759745600098;ALCOHOL ABSOLUTO 250 ML X 1 UNIDAD  VITALCINIC
759745600074;ALCOHOL ABSOLUTO 30 ML X 1 UNIDAD VITALCLINIC
7592368003036;ALCOHOL ABSOLUTO 475 ML X 1 UND LAB F.S.I
7594001452409;ALCOHOL ABSOLUTO 500 ML RECETTE MARK
759745600111;ALCOHOL ABSOLUTO 500 ML X 1 UNIDAD VITALCLINIC
759745600081;ALCOHOL ABSOLUTO 60 ML X 1 UNIDAD  VITALCLINIC
7599028000039;ALCOHOL ABSOLUTO AL 96% 30 ML LYA
25525779;ALCOHOL ABSOLUTO EXTRAFINO 250 ML FARMAGENIK
011344403228;ALCOHOL ABSOLUTO EXTRAFINO 500 ML FARMAGENIK
7593255000299;ALCOHOL ANTISEPTICO 70 % 120 ML X 1 UND ALNA
7592044000106;ALCOHOL ANTISEPTICO 70 % 500 ML EL GUARDIAN
7593255000275;ALCOHOL ANTISEPTICO 70 % 950 ML X 1 UND ALNA
7593255000244;ALCOHOL ANTISEPTICO 70% 100 ML X 1 UND ALNA
7591487000049;ALCOHOL ANTISEPTICO 70% 1000 ML ALVA
7593255000268;ALCOHOL ANTISEPTICO 70% 500 ML X 1 UND ALNA
7592044002643;ALCOHOL ANTISEPTICO 70% CON ATOMIZADOR 120 ML EL GUARDIAN
7591012070162;ALCOHOL ANTISEPTICO AL 70 % X 1 LT  LYA
7592368002534;ALCOHOL EXTRAFINO 250 ML LAB F.S.I
7592368000295;ALCOHOL EXTRAFINO ABSOLUTO 120 ML LAB F.S.I.
7592368000233;ALCOHOL EXTRAFINO ABSOLUTO X 6 UND LAB F.S.I
3017;ALCOHOL ISOPROPILICO 70 % 1 LTR X 1 UNIDAD VITALCLINIC
7591487000018;ALCOHOL ISOPROPILICO 70 % 120 ML ALVA
7591487000025;ALCOHOL ISOPROPILICO 70 % 240 ML ALVA
7591487000056;ALCOHOL ISOPROPILICO 70 % 3785 ML ALVA
7599421541306;ALCOHOL ISOPROPILICO 70 % ZERO 1 LITRO
7599421542402;ALCOHOL ISOPROPILICO 70 % ZERO 240 ML
759745600012;ALCOHOL ISOPROPILICO 70% 120ML VITALCLINIC
