CODBARRAS;DESCRIPCION
7594000851234;ACETAMIN CLORFEN BQ 120ML
7591519004144;ACETAMINOFEN +MK500 X10TA
7591519001228;ACETAMINOFEN +MK650X10MOR
7597758000459;ACETAMINOFEN AL180 120ML
7597758000596;ACETAMINOFEN AL500 X20TA
7598127000988;ACETAMINOFEN BM800 X10TA
7594000850626;ACETAMINOFEN BQ 500 X12TA
7594000850855;ACETAMINOFEN BQ120MG100ML
7594000850824;ACETAMINOFEN BQ180MG120ML
7594000850633;ACETAMINOFEN BQ500 X24TA
7594000851258;ACETAMINOFEN BQ650 X10CO
7594000851265;ACETAMINOFEN BQ650 X20CO
7594000851289;ACETAMINOFEN BQ750 X10CO
7591818132074;ACETAMINOFEN CO120MG.J120
7591585179050;ACETAMINOFEN GN 650 X30CO
7591585177780;ACETAMINOFEN GN180 SOL90
7591585376657;ACETAMINOFEN GN500 X10CO
7591585279057;ACETAMINOFEN GN650 X10CO
720524031105;ACETAMINOFEN LAT500 X100
7591196006387;ACETAMINOFEN LO120 SO120
7591196006486;ACETAMINOFEN LO120 SO60
7591196006516;ACETAMINOFEN LO500 X10TA
7592454003100;ACETAMINOFEN LS150 120ML.
7592454000031;ACETAMINOFEN LS500 X20TA
7592454003391;ACETAMINOFEN LS650 20B.X5
7592454001243;ACETAMINOFEN LS650 X10TA
7594001101604;ACETAMINOFEN PX650 X10TA
7598484000027;ACETAMINOFEN QF JBE.120ML
7598484000010;ACETAMINOFEN QF100MG.15ML
7598484001000;ACETAMINOFEN QF500 X20TA
7590027001669;ACETAMINOFEN SP 650 X10
7590027002079;ACETAMINOFEN SP 750 X10CO
7591196006523;ACETAMINOFN LO500 X30TA
8906036366337;ACETAZOLAMIDA ZZ250 X20TA
7592806121018;ACETOBEN JBE. 120ML.
7591020008839;ACEVAL 180MG. SOL.PED.120
7591020000611;ACEVAL 650MG. X10TA
7591020008471;ACEVAL 650MG. X50TA
7591020009423;ACEVAL DIA 650-20-2 X8TA
7591020006156;ACEVAL GOTAS PED. 30ML.
7591020009430;ACEVAL NOCHE 650-4 X6TA
7707355050034;ACIBATH-S DERM,LIMP.120G.
7591585311634;ACICLOR 5% CR.TOP. 10GR.
7591585111838;ACICLOR AP 1GR. X10CO
7591519005639;ACICLOVIR +MK200MG. X25TA
7591519001099;ACICLOVIR +MK5% CR.10GR.
7598252101307;ACICLOVIR DIS200MG.X100TA
720524031174;ACICLOVIR LAT200 X10TA
7592348020114;ACICLOVIR LN200MG. X20TA
7592454102001;ACICLOVIR LS200MG. X24TA
7750215003602;ACICLOVIR PORTU200 X100TA
7750215001905;ACICLOVIR PORTU5% CR.5GR
7596347802993;ACICLOVIR SGG5% CR. 20GR.
7707236126483;ACICLOVIR VITA250 X10A
7591196003195;ACIDO ACETIL. LO81 X24TA
7594000850282;ACIDO ASC. VIT C 100X30ML
17591616001463;ACIDO BORICO DT X12 20GR.
17598252101571;ACIDO FOL DIS10MG/2ML.10A
7594000851333;ACIDO FOLICO BQ GOTAS30ML
7591585171498;ACIDO FOLICO GN10MG.X20CO
7591619501048;ACIDO FOLICO KL 10MG X3A
7591619000213;ACIDO FOLICO KL 5MG X30CO
7592601303190;ACIDO FOLICO MY5MG. X10TA
7592601301479;ACIDO FOLICO MY5MG.X30TA
7594001101314;ACIDO FOLICO PX5MG. X30TA
8906005118370;ACIDO MEFENAM FM500 X10TA
8904324101325;ACIDO MEFENAMI ZZ500 10CO
7707236129217;ACIDO TRANEX VITA500 X10A
8906159251855;ACIDO TRANEXA ZZ500 X10TA
7707236121761;ACIDO ZOLEDRO VITA4MG.X1A
676194784004;ACIDOPHLUS PROBI ALFA60CA
7593089000083;ACITRON-D VERA X30CA
7591519051865;ACLER 150MG. X1TA
7795368002249;ACRYLARM GEL OFT. 10GR.
7594001101895;ACTICAR 1G.SOL.ORAL 120ML
8904306501082;ACTIPLEN 200MG. 10B.X10TA
7591353515608;ACTIVA SEC PD PERD.OC.X40
7591821290372;ACTUMIR 25MG. X30TA
7592904000079;ACUAGEL 250CC.
7592306000011;ACUBISINA POLVO 15GR.
7592306000028;ACUBISINA UNG. 50GR.
7592710000843;ADELGASEN HP CAPS. X60
7592710003707;ADELGASEN HP400MG. X30CA
7703153028053;ADELLA 2/0.035 X21TA
7591844000590;ADEMINA 3E CR. DP 60GR.
7591844000712;ADEMINA GEL LI.MANOS 100
7591844000583;ADEMINA KIDS CR. 60GR.
7591844000743;ADEMINA KIDS L.HI BLAN170
7591844000750;ADEMINA KIDS L.HI ROSA170
7591844000729;ADEMINA KIDS REV.CAPIL200
7591844000446;ADEMINA PLUS CR.CORP.60GR
7591844000606;ADEMINA SOL.JAB. 190CC.
27597297000396;ADHESIVO NON 2.5X9.1 X12U
27597297000389;ADHESIVO NON1.25X9.1 X12U
27597297000358;ADHESIVO SE 1.25X9.1 X12U
27597297000365;ADHESIVO SEDA 2.5X9.1X12
27597297000372;ADHESIVO SEDA 5X9.1 X6U
27597297000334;ADHESIVO TRAN 2.5X9.1X12U
27597297000341;ADHESIVO TRAN 5X9 1M X6U
7591096001499;ADRENALINA BIO X100A.1ML.
7591285000746;ADULTOS MAYORES MANTE.400GR
6920210513029;AEROCHAMBER ADULTO BIO
7591818210321;AEROFLAT 125MG. X30CA.BLA
7591818210406;AEROFLAT GOTAS 80MG.20ML.
7595751002616;AFEIT MUJ.APEX VELVET4HX2
7591196006189;AFLAMAX 50MG. 25B. X5TA
7591196007186;AFLAMAX 50MG. X10TA
7591196004451;AFLAMAX 50MG. X20TA
7591619163031;AFOKLIN 10MG. GOTAS 15ML.
7591619163024;AFOKLIN 10MG. X20CO
7591619163017;AFOKLIN 5MG. X20CO
7594001564157;AFTEROL 0,75MG. X2TA
7594001450283;AGUA DE ROSAS XS SPLAH120
7592368003135;AGUA DESTILADA FSI 960CC.
7592368003302;AGUA DESTILADA VITAL 3.7L
7597767000921;AGUA EST. DILUIR BC500ML.
7596211001156;AGUA MICELAR 250ML
7593255000091;AGUA OX ALNA 3% 100CC
7593255000107;AGUA OX ALNA 3% 240CC
7593255000114;AGUA OX ALNA 3% 500CC
7593255000121;AGUA OX ALNA 3% 950CC
7591487000063;AGUA OXIG. ALVA 120ML.
7591487000094;AGUA OXIG. ALVA 1L.
7591487000070;AGUA OXIG. ALVA 240ML.
7591487000087;AGUA OXIG. ALVA 500ML.
7591956110248;AGUA OXIG. EL GUARDIAN 1000
7591956110224;AGUA OXIG. EL GUARDIAN 240
7591956110231;AGUA OXIG. EL GUARDIAN 500
7591956110217;AGUA OXIG. GUARDIAN 120ML
7597467000771;AGUJA ESPINAL 25G.PM X50
7597467000788;AGUJA ESPINAL 26G.PM X50
7597467000795;AGUJA ESPINAL 27G.PM X50
6958590304357;AIDEX TRANSMISOR GLUCOSA
5351937;AIRALAM 20MG/120MG. X24CO
7703763169405;AIREX 0,05% SOL.NAS 15ML.
7591818111017;AIRFEN GOTAS NAS.AD.15ML
7591818111024;AIRFEN GOTAS NAS.PED.15ML
7591196002563;AIRON 10MG. X10TA
7591196002808;AIRON 10MG. X30TA
7591196002952;AIRON 4MG. X10TAB.MAST.
7591196002549;AIRON 5MG. X10TAB.MAST.
7591196002792;AIRON 5MG. X30TA.MAST.
7591196002945;AIRON TAB.MAST. 4MG. X30
7594001564102;AIROPLAST 1,25- 500CM X1
7591083018615;AJAX AB LIQ.MULTIUSO 1L.
7592430000154;AJO 570MG. NP X60CA
7592946168300;AJO AI400MG. X90CA
7592512003783;AKNFREE GEL HID.FAC. PG50
7592512003790;AKNFREE GEL LIMP.PG 120ML
7592512003776;AKNFREE TONICO FAC. PG120
7592601100645;ALANTAMIDA CREMA 20GR.
7591519007022;ALBENDAZOL +MK200T.FRU.X2
7592454003261;ALBENDAZOL LS200MG. X2TA
7592454120364;ALBENDAZOL LS400MG. 20ML.
7750215796634;ALBENDAZOL PORT100 SO20ML
7594001100263;ALBENDAZOL PX 200MG X2TA
7592025101204;ALBEPIR CH. A.CASPA 140CC
7591062010036;ALBICAR 200MG X2TA
7591062010173;ALBICAR 200MG. X6TA
7591062010029;ALBICAR 400MG. SUSP.10ML.
7703153037512;ALBISEC CAPS. X12
7703153028695;ALBISEC ONE X6TA
8908010762593;ALBUSYN 20% SPI 50ML. X1
7592946005711;ALCACHOFA AI 300MG. X90CA
7592710000355;ALCACHOFA+CENTELLA HP60CA
7594001455448;ALCOHOL ABS.RECE SPRAY120
7594001455455;ALCOHOL ABS.RECE SPRAY240
7594001450337;ALCOHOL ABS.RECETTE 120ML
7594001450320;ALCOHOL ABS.RECETTE 60ML
7593255000305;ALCOHOL ABSO ALNA96%100CC
7593255000312;ALCOHOL ABSO ALNA96%120CC
7593255000329;ALCOHOL ABSO ALNA96%240CC
7593255000336;ALCOHOL ABSO ALNA96%500CC
7593255000343;ALCOHOL ABSO ALNA96%950CC
7591616000278;ALCOHOL ABSO BF 1L.
7591616000308;ALCOHOL ABSO BF 500ML.
0011344403228;ALCOHOL ABSO FG 500ML.
7592368000295;ALCOHOL ABSO FSI 120CC.
7592368000240;ALCOHOL ABSOL FSI X6 30CC
7591616000261;ALCOHOL ABSOLUTO DT 120CC
7593255000244;ALCOHOL ALNA 70% 100CC
7593255000299;ALCOHOL ALNA 70% 120CC
7593255000251;ALCOHOL ALNA 70% 240CC
7593255000282;ALCOHOL ALNA 70% 3.785L
7593255000268;ALCOHOL ALNA 70% 500CC
7593255000275;ALCOHOL ALNA 70% 950CC
7593255001494;ALCOHOL ALNA70% ATOMIZ500
7591616002111;ALCOHOL ANT. BF 70% 120ML
7591616001992;ALCOHOL ANT.BF 70% 1000ML
7591487000186;ALCOHOL ETIL.70% ALVA 1L.
7591487000162;ALCOHOL ETIL.70% ALVA 240
7591487000179;ALCOHOL ETIL.70% ALVA 500
7592044000113;ALCOHOL GUARDIAN 1000CC.
7592044000083;ALCOHOL GUARDIAN 120CC.
7592044000090;ALCOHOL GUARDIAN 240CC.
7592044000106;ALCOHOL GUARDIAN 500CC.
7591487000018;ALCOHOL ISOP.70% ALVA 120
7591487000049;ALCOHOL ISOP.70% ALVA 1L.
7591487000025;ALCOHOL ISOP.70% ALVA 240
7591487000032;ALCOHOL ISOP.70% ALVA 500
7594001450399;ALCOHOL YODA SPRAY XS30ML
17591616000343;ALCOHOL YODADO DT 60MLX12
7592368000332;ALCOHOL YODADO FSI30ML.X6
7591808526258;ALDER CR.A.ESTRIAS 80GR.
7591808526210;ALDER GEL LIMP. SENSI 223
8906159251961;ALENDRONATO S, ZZ70 X4TA
7591196002693;ALERGOT SOL.OFT. 5CC.
7703763460854;ALERPAT 0,2%SOL.OFT. 5ML.
7591196003430;ALFADYN 0,20% SO.OFT.5ML.
676194900084;ALFLEXIL X60CA
7592803003959;ALGIOL 2,5MG. X30CO
7592803003973;ALGIOL 5MG. X30CO
7592803004147;ALGIOL HCT 5–6,25 X30CO
813333012301;ALGODON ABS.MOTAS B.KX100
813333012271;ALGODON ABSORB. KX 454GR.
813333012257;ALGODON ABSORB. KX 50GR.
7593255000145;ALGODON ALGOBAP 10GR.
7593255000152;ALGODON ALGOBAP 25GR.
7593255000169;ALGODON ALGOBAP 50GR.
7591442000077;ALGODON ALVE 100GR.
7591442000046;ALGODON ALVE 10GR.
7591442000053;ALGODON ALVE 25GR.
7591442000060;ALGODON ALVE 50GR.
7591442000114;ALGODON ALVE MB X100
7591442000121;ALGODON ALVE MB X150
7591442000107;ALGODON ALVE MB X50
7591442000084;ALGODON ALVE ROLLO 250GR
7591442000091;ALGODON ALVE ROLLO 500GR
7592806133011;ALGOREN 10MG. X20TA
7592806133028;ALGOREN 40MG. X20TA
7591243801620;ALIPAL FORTE D/N X6CA
7592432000084;ALIVAX FORTE 650 25B.X5CB
7592432010335;ALIVAX FORTE 650 X10C.BLA
7591585116000;ALIVET 4DIAS 8D-4N X12CO
7591585216601;ALIVET FA COMPR. X20
7591585116178;ALIVET GRAN.LIMON 10G.X6S
7591585216755;ALIVET JBE.PED.125MG.120
7591585116673;ALIVETNOC FORTE GRAN.6SOB
7501008443033;ALKA SELTZER X12TE
7597178000046;ALL-DOVARI FORTE ROLL 90G
7795312100090;ALLEGRA 30MG. SUSP.150ML.
7703763722686;ALLERFEX 120MG. X10TA
616513672070;ALMOHADI OJOS PEPI CAL X5
7599408000031;ALMOHADILLAS ALGOBAP X100
7599408000017;ALMOHADILLAS ALGOBAP X60
7599408000024;ALMOHADILLAS ALGOBAP X80
7598176000137;ALOPURINOL ANG100MG.X30TA
7598869002103;ALOPURINOL NIO300 X30TA
733739108043;ALPHA LIPO ACID NW250 X60
733739030467;ALPHA LIPO ACID NW600 X60
7591020005296;ALPRAM 0,5MG. X30TA
7591020005302;ALPRAM 1MG. X30TA
7591020005319;ALPRAM 2MG. X30TA
7591519000467;ALPRAZOLAM +MK0,5 X30TA
7591519001495;ALPRAZOLAM +MK1MG. X30TA
7598578000391;ALPRAZOLAM DAC1MG. X30TA
7598578000407;ALPRAZOLAM DAC2MG. X30TA
7591062012948;ALRES 500-30-2 X10TA
7591062000105;ALRES FORTE PVO.PSO X6SOB
7592601201045;ALSART 160MG. X10CA
7592601201021;ALSART 80MG. X10CA
8902502117045;ALUMA-D SUSP.ORAL 200ML.
7592368001186;ALUMBRE FSI PVO.20GR.X25S
17591616001487;ALUMBRE POLVO DT20G X12
7592806133042;ALURON 100MG. X30TA
7592806133097;ALURON 300MG. X20CO
7506195129838;ALWAYS TOA.COMOD 3DIU X8U
7500435145329;ALWAYS TOA.NOCT C/ALAS X8
7593090002649;AMANIRIS 81MG. X30CO
7593090000089;AMARENFEM 150MG. X1CA.BL.
7594000851593;AMBRO-LORA BQ30/5 SOL.120
7594000851586;AMBRO-LORA BQ30/5 SOL.60
7594000850909;AMBROXOL BQ. 15MG.120ML.
7594000850923;AMBROXOL BQ. 30MG.120ML.
7592616005010;AMBROXOL DP15MG. 120ML.
7594000020418;AMBROXOL LF AD. 120CC.
7594000020401;AMBROXOL LF PED. 120CC.
7592454120203;AMBROXOL LS15MG.PED.120ML
7592454120302;AMBROXOL LS30MG. JBE120ML
7703153020071;AMBROXOL VP JBE.AD.120ML
7703153020064;AMBROXOL VP JBE.PED.120ML
8906078136097;AMBROXOL ZZ15MG. X10CO
8906078136103;AMBROXOL ZZ30MG. X10CO
7591585171740;AMIKACINA GN500 2ML. X1A
8908003460512;AMIKACINA KMP100MG. X10A
6942189211454;AMIKACINA KMP500 2ML.X10A
7592806114065;AMIKACINA PO500/2ML. X1A
7707236124632;AMIKACINA VITA100MG. X10A
7707236124786;AMIKACINA VITA500MG. X10A
733739107893;AMINO COMPLETE NW X120CA
7591020003131;AMIODARONA GENCER 200X10
7591243801750;AMIODARONA PA 200 X10TA
7598484001154;AMIPINA 5MG. X30TA
8901463160855;AMLO/VALSAR BIU5/160 10TA
7591519001358;AMLODIPINA +MK10MG. X10TA
7591519001648;AMLODIPINA +MK10MG. X30TA
7591519001334;AMLODIPINA +MK5MG. X10TA
7591519001655;AMLODIPINA +MK5MG. X30TA
7597758000763;AMLODIPINA AL10MG. X30TA
7597758000756;AMLODIPINA AL5MG. X30TA
7468999191070;AMLODIPINA ALFA5MG.X100TA
8903726266663;AMLODIPINA BIU5MG. X30TA
7598127001466;AMLODIPINA BM10MG. X30TA
5008081;AMLODIPINA BP10MG. X60CO
5007786;AMLODIPINA BP5MG. X60CO
7592616014029;AMLODIPINA DP 10MG. X20TA
7592616013039;AMLODIPINA DP 5MG. X30TA
7598307000487;AMLODIPINA GDG5MG. X28TA
7591585278166;AMLODIPINA GN 5MG. X30CO
7591585178176;AMLODIPINA GN10MG. X10CO
7591585278173;AMLODIPINA GN10MG. X30CO
7591585178169;AMLODIPINA GN5MG. X10CO
7591020003247;AMLODIPINA GNCR10 X10TA
7592454886994;AMLODIPINA LS10MG. X10TA
7592454887014;AMLODIPINA LS5MG. X10TA
8436609070090;AMLODIPINA MED5MG. X10TA
7592454889568;AMLODIPINO LS10MG. X30TA
7592454889575;AMLODIPINO LS5MG. X30CO
7750215007822;AMLODIPINO PORTU10 X100TA
7590027000686;AMLODIPINO SP10MG. X20CO
8903489001761;AMLOTAN 5MG. X30TA
8699525093189;AMOKLAVIN-BID 1000MG.14TA
8699525282507;AMOKLAVIN-BID FO PPSO70ML
7598578000667;AMOXI AC DAC600/42,9 60
7598578000292;AMOXI AC DAC875/125 X10TA
7750215007204;AMOXI+AC POR250/62.5 60ML
7591519000610;AMOXI-AC +MK400/57 PPSO70
7591519000627;AMOXI-AC +MK875/125 X14TA
675696260597;AMOXIC AC BUKA400/57 60ML
7598828000850;AMOXIC-AC GLA875-125 10TA
7840108578437;AMOXICI AC JD600/42,9 60
7592616576916;AMOXICI AC.DP500/125 10TA
7598650000677;AMOXICIL AC JL500/125 X10
7591585173195;AMOXICIL AC.GN875/125 X14
7598127001664;AMOXICILINA BM500 X30CA
7598578000025;AMOXICILINA DAC500 X10TA
7598252101024;AMOXICILINA DIS250 PPSO60
7598252101147;AMOXICILINA DIS500 X100CA
6921875010229;AMOXICILINA FAHD500 10X10
8906082150676;AMOXICILINA FM500 X10CA
7591585470492;AMOXICILINA GN500MG.X12CA
8901079005106;AMOXICILINA IPCA500 X10CA
6942189304330;AMOXICILINA KMP250 SO100
6921875011134;AMOXICILINA KMP500 X10CA
7594000020043;AMOXICILINA LF250MG.SUSP.
7594000020036;AMOXICILINA LF500MG.X12CA
7703763070282;AMOXICILINA LS500 X12CA
7703763070299;AMOXICILINA LS500MG.X6CA
7598484001017;AMOXICILINA QF500 X8CA
7590027000167;AMOXICILINA SP250 PPSO45
7591020000758;AMOXIVAL 250MG.PPSO 90ML.
7591020008082;AMOXIVAL 750MG.PPSO 70ML.
7591020080613;AMOXIVAL 875MG. X20TA
7591020009003;AMOXIVAL AC250-62,5 60ML.
7591020009010;AMOXIVAL AC400-57 60ML.
7703763875993;AMPICILINA LS250 PPSO60ML
7707236120641;AMPICILINA VITA500MG.X10A
7592432000299;AMPLIDER 50MG. X10CA.BLA
7591585313546;AMPROVIL 0,5MG. 10CA
7591585213549;AMPROVIL 0,5MG. X20CA
7591061508176;AMY COLONIA 220CC.
7591061400111;AMY HISOPOS X60
7591061399989;AMY LOCION 200CC.
7591061400142;AMY TALCO 200GR.
7598055000456;ANAFLEX 250MG. X10TA
7861152100016;ANALGAN 1GR. X20CO
7592454003117;ANALPER 150JBE.PED.120ML
7592454001212;ANALPER CAF 500/40 X10TA
7592454003063;ANALPER FEMPLUS200/10 X10
7592454000802;ANALPER FORTE TAB. 650X10
7592454000789;ANALPER NAX 250MG. X10CA
7592454000796;ANALPER PLUS 500/10 X10TA
7592710000362;ANAMU MAPURITE HP X60CA
7594001101024;ANANTY 120MG. S.ORAL120ML
7594001101673;ANANTY FORTE160MG.SO60ML
7593090001024;ANAPIR 400MG. X10CA,BLAN
7593090000157;ANAPIR IBUPROFENO 200X10
7593090002113;ANAPIRFLEX 600-4 X10TA
7591955003084;ANASMOL 2,5MG. X30CO
7591955000915;ANASMOL 5MG. X10CO
7591955003091;ANASMOL 5MG. X30CO
5065644;ANASTROZOL FZ1MG. X30CO
8904278584670;ANASTROZOL WC1MG. X30TA
8904306500863;ANASTWIN 1MG. 10B. X10TA
7592194003958;ANDADERA ALUM. D.REFUERZO
7592194003941;ANDADERA CON RUEDAS
7592194003903;ANDADERA CROMA D.BOTON KX
7592349911244;ANDANTOL JALEA 20GR.
7591619520636;ANGRIP FORTE D/N X14CO
7591619001166;ANGRIP FORTE DIA X10CO
7591619001159;ANGRIP FORTE NOC X5CO
7591619518985;ANGRIP NOCHE X4CO
7592368001278;ANIS ESTRELLADO FS 5GRX25
8940001255738;ANLEPTIC 100/5ML SUSP.100
8906009231020;ANOMEX 0,25/3/5/0,5 10SUP
7594000490136;ANSILAN 1MG. X30CO
7591955558348;ANSILAN 2MG. X30CO
7591519051889;ANTAAR 1,25MG. X30TA
7591519317732;ANTAAR 10MG. X10TA
7591519051902;ANTAAR 10MG. X30TA
7591519317718;ANTAAR 2,5MG. X10TA
7591519051872;ANTAAR 2,5MG. X30TA
7591519317725;ANTAAR 5MG. X10TA
7591519051896;ANTAAR 5MG. X30TA
7591519317749;ANTAAR HCT 2,5-6,25 X10TA
7591519317367;ANTAAR HCT 2,5-6,25 X30TA
7591519317756;ANTAAR HCT 5-6,25 X10TA
7591519317343;ANTAAR HCT 5-6,25 X30TA
7595751003576;ANTI TRANS DA LILA B 150M
7596548000723;ANTI TRASP BIORGAN 90BOL.
7591061650356;ANTIBAC. SPLASH 200ML
6930169708360;ANTICONCEPTI BM3-0,03 X21
7592349722925;ANTIFOM 40MG. X10CO
7592349001723;ANTIFOM 80MG. S.ORAL 20ML
7592349001068;ANTIFOM FORTE 160MG.X10CO
7591821102095;ANTILAX 2MG. X10TA
7591585214706;ANTUX SOL.ORAL 180ML.
7592946005742;APETININ AI JBE.PED.240ML
3582910023630;APIDRA SOLOSTAR CART.3ML.
7591196002785;APIRET 180SOL.ORAL 120ML.
7591196007155;APIRET 180SOL.ORAL 60ML.
7591196006462;APIRET 500MG. X10TA
7599112000259;APIXTAN 5MG. X30TA
7592601303176;APLACAL 750BANANA X10TM
7592601000013;APLACAL 750BANANA X120TM
7592601303145;APLACAL 750FRAMB. X10TM
7592601000020;APLACAL 750FRAMB. X120TM
7592601303169;APLACAL 750MANDA. X10TM
7592601000037;APLACAL 750MANDA. X120TM
7592601303152;APLACAL 750MENTA X10TM
7592601000044;APLACAL 750MENTA X120TM
813333012400;APLICADOR ALGODON X100 KX
616513708427;APLICADOR SOMBRA X12 CALA
676194174508;APPLE VINEGAR ALFAX60CA
617748376337;APPLE VINEGAR VAL450 30CA
7593090000034;APYRENE 650MG. X10CA.BLA.
7707271451724;AQUALEN PLUS EMUL.HID240
7592025101600;AQUAPHAR L.HIDR. 140CC.
7703281002024;AQUATOP CR.RES.INT. 250G.
7703281020257;AQUATOP LIMP.LIQ. 400ML
7591243801965;ARADROXINA 200MG. X20TA
7591821904378;ARANDA 5MG-100MG. X30CA
7592710000379;ARANDANO NEGRO HP X60CA
7598055000470;ARBITEL 40MG. X30TA
7592601100126;ARBIXIL 15MG-10MCG.JBE120
7592601100683;ARBIXIL 7,5-5 GOTAS 15ML.
7592601100638;ARBIXIL 7,5-5 JBE.PED.120
7750215023792;ARCODEX 120MG. X7TA
7591243802115;ARESAN 40MG. X30TA
7896206406929;ARIMIDEX 1MG. X28CO
8904278588258;ARIPIPRAZOL WC10MG. X10TA
7593533000409;ARNICA CR.40GR.VIHOM
7593533001116;ARNICA D6 GLOB.30GR VIHOM
787790469452;ARNICA ET GEL NAT. 237ML.
7593090000799;ARNICA FC FORTE TARRO 250
7593090000676;ARNICA FC FORTE90GR.BOL
7593090000775;ARNICA FC GEL MASAJE250
7593090000201;ARNICA FC GEL PM BOL90GR.
7593090001079;ARNICA FC LOC.AER. 64GR.
7593090002731;ARNICA FC LOC.CORP. AER75
7593090000218;ARNICA FC PLUS GEL TAR250
7593090000706;ARNICA FC PLUS TERMO 90GR
7593434000164;ARNICA M.ROLL ON PLUS 90G
7593434000430;ARNICA P.RHELEN SPRAY120
7593533004513;ARNICA+CALEND.VIHOM BOL90
7593533004537;ARNICA+CALEND.VIHOM200CR.
7593533003899;ARNICAVIHOM GOTAS 30ML.
7592806133066;ARTENOLOL 100MG. X30TA
7592946000013;ARTRISAN 300MG. X90CA
7707355052083;ARTRITES 75MG/3ML. IM X5A
7591585213402;ARTRODAR 50MG. X30CA
7592710003721;ARTYPLANT HP400MG. X30CA
7592710000386;ARTYPLANT HP400MG. X60CA
7591821210424;ARUDIL 10MG. X10TA
7591821210660;ARUDIL 10MG. X30TA
7591821210011;ARUDIL 15MG. X10TA
7591821210561;ARUDIL 15MG. X30TA
7591821210028;ARUDIL 20MG. X10TA
7591821210578;ARUDIL 20MG. X30TA
7591585261236;ASAPROL 81MG. X100CO
7591585213358;ASARAP 10MG. X30CO
7591585313331;ASARAP 15MG. X10CO
7591585113337;ASARAP 15MG. X20CO
7591585213334;ASARAP 15MG. X30CO
7591585313348;ASARAP 20MG. X10CO
7591585113344;ASARAP 20MG. X20CO
7591585213341;ASARAP 20MG. X30CO
7592601100676;ASCAFYL PLUS500-30-2 10TA
7592601301776;ASCAFYL SC GOTAS PED.15ML
7592601100140;ASCAFYL TAB. X10
7592710002885;ASHWAGANDHA HP450MG.X60CA
7707233050552;ASPIRADOR NASAL CORCHITO
7591619000589;ASTEFOR 500MG. X10CO
7591519000986;ATAMEL 500MG. X20TA
7591257000552;ATAMEL FORTE 650MG. X10TA
7591519000993;ATAMEL PLUS 500/32 X10TA
7593090001529;ATAPEC FC 100MG X30TAB
7598127001480;ATENOLOL BM100MG. X30TA
675696259966;ATENOLOL BUKA50MG. X30TA
7592616011028;ATENOLOL DP 50MG. X30TA
7591585175021;ATENOLOL GN50MG. X30CO
7703763090358;ATENOLOL LS100MG. X30TA
7703763090341;ATENOLOL LS50MG. X30TA
8436609070113;ATENOLOL MEF100MG. X10TA
7598869000277;ATENOLOL NIO100MG. X10TA
3701129801000;ATODERM BALS.LABIAL 15ML.
3401399373527;ATODERM INTENSI PAIN 150G
7598431000193;ATOLIPOL DUO 20-10 X30CO
7598431000186;ATOLIPOL DUO 40-10 X30CO
7501384546526;ATOMOXETINA PSI25 X14CA
7501384546540;ATOMOXETINA PSI40 X14CA
7591818210512;ATORVACOF 20MG. X14TA
7591519051551;ATORVASTATINA +MK20 X30TA
7597758000732;ATORVASTATINA AL20 X30TA
