CODIGO;DESCRIPCION;PRECIO;CANTIDAD;DCTO;MARGENFAR;DCTO_UFI;EMPAQUE;DCTO_EMPQUE;CODBARRAS;TIPO;CODPROV;LOTE;FECHA_EXP;REGULADO;CADENA_FRIO;DCTO_COMER;DCTO_PP;ORIGINAL;UMF;FECHAINGRESO;ADM
GB710;AC FOLICO GC10MG. X20CO; 46.96;328; 0.00; 0.00;0.00; 0; 0.00;7592349926194;M;VA;2308104; 2026-08;N;NO;4.00; 0.00;12;1;2024-03-14;0
VO107;AC FOLICO GENCER 10X30;82.15;145; 0.00; 0.00;10.00;0; 0.00;7591020008174;M;VO;29;2028-11;N;NO;4.00; 0.00;36;1;2024-03-14;0
GN121;AC FOLICO GN10MG. X30CO; 57.08;3; 0.00; 0.00;0.00; 0; 0.00;7591585271495;M;LT;058; 2026-01;N;NO;4.00; 0.00;96;1;2024-03-09;0
GN153;AC FOLICO GN5MG. X30CO;58.08;1142;0.00; 0.00;0.00; 0; 0.00;7591585271488;M;LT;029; 2026-01;N;NO;4.00; 0.00;144; 1;2024-03-12;0
KL105;AC FOLICO KL 10MG. X20CO;65.00;1387;0.00; 0.00;5.00; 0; 0.00;7591619501024;M;KN;0194;2027-07;N;NO;4.00; 0.00;24;1;2024-03-14;0
HU100;AC FOLICO KL 10MG. X30CO;96.20;16;0.00; 0.00;5.00; 0; 0.00;7591619000220;M;KN;0195;2028-08;N;NO;4.00; 0.00;24;1;2024-03-14;0
KL100;AC FOLICO KL GOTAS 15ML.;227.50; 526; 0.00; 0.00;5.00; 0; 0.00;7591619501031;M;KN;0205;2026-10;N;NO;4.00; 0.00;24;1;2024-03-14;0
GM850;AC FOLICO MY GOTAS 15ML.;203.71; 670; 0.00; 0.00;0.00; 0; 0.00;7592601300779;M;AP;354211;2025-12;N;NO;4.00; 0.00;210; 1;2024-03-13;0
GM110;AC FOLICO MY5MG. X20TA;84.45;1611;0.00; 0.00;75.00;0; 0.00;7592601300014;M;AP;353105;2025-11;N;NO;4.00; 0.00;300; 1;2024-03-09;0
12650;AC FOLICO NS 400MCG.100TA; 303.30; 48;0.00; 0.00;2.00; 0; 0.00;646824237101; A;EM;40776; 2024-12;N;NO;4.00; 0.00;48;1;2024-03-09;0
RZ160;AC FOLICO PX10MG. X20TA; 41.60;1798;0.00; 0.00;10.00;0; 0.00;7594001101338;M;RZ;7281;2026-11;N;NO;4.00; 0.00;48;1;2024-03-09;0
RZ150;AC FOLICO PX10MG. X30TA; 57.20;4112;0.00; 0.00;10.00;0; 0.00;7594001101345;M;RZ;7346;2027-02;N;NO;4.00; 0.00;48;1;2024-03-09;0
18013;AC HIAL+COLAG+BIOT NS X60; 373.88; 56;0.00; 0.00;2.00; 0; 0.00;646824257062; A;EM;46079; 2026-11;N;NO;4.00; 0.00;48;1;2024-03-09;0
18308;ACCUALAXAN PPSO 17G.X7SO;299.00; 26;0.00; 0.00;20.00;0; 0.00;7803510003669;M;KN;3020003; 2026-02;N;NO;4.00; 0.00;22;1;2024-03-09;0
18309;ACCUALAXAN PPSO 225GR.;409.50; 17;0.00; 0.00;20.00;0; 0.00;7803510003638;M;KN;3020038; 2026-02;N;NO;4.00; 0.00;18;1;2024-03-14;0
14033;ACEIT CORP MAGNESIO 118ML; 289.58; 5; 0.00; 0.00;0.00; 0; 0.00;617748376269; C;NQ;082376106; 2026-08;N;NO;4.00; 0.00;20;1;2024-03-09;0
12766;ACEITE ALME.BMT30ML.X6;871.57; 1; 0.00; 0.00;0.00; 0; 0.00;0147597773000197 N;100709;A199032303;2025-03;N;NO;4.00; 0.00;1; 1;2022-12-08;0
16485;ACEITE ALMEND. ABE 120ML;151.66; 11;0.00; 0.00;0.00; 0; 0.00;7597134000097;N;100801;AM03;2025-09;N;NO;4.00; 0.00;24;1;2024-03-11;0
13751;ACEITE ALMEND. SPRAYX70ML; 265.16; 258; 0.00; 0.00;0.00; 0; 0.00;7594001455363;N;XS;01062268;2025-06;N;NO;4.00; 0.00;24;1;2024-03-09;0
DT180;ACEITE ALMENDRAS DT 30X12; 799.03; 1; 0.00; 0.00;0.00; 0; 0.00;17591616000039; N;100566;130102;2026-10;N;NO;4.00; 0.00;82;1;2024-03-09;0
FS520;ACEITE ALMENDRAS FS 30X12; 967.20; 2; 0.00; 0.00;12.00;0; 0.00;7592368002923;N;FS;1023012; 2025-03;N;NO;4.00; 0.00;12;1;2024-03-13;0
13752;ACEITE COCO SPRAY X70ML; 172.89; 2; 0.00; 0.00;0.00; 0; 0.00;7594001455356;N;XS;21022273;2025-02;N;NO;4.00; 0.00;24;1;2023-12-29;0
KQ012;ACEITE CR.ARNICA RHEL250;147.41; 10;0.00; 0.00;0.00; 0; 0.00;7593434000942;C;100632;222923061; 2026-09;N;NO;4.00; 0.00;25;1;2024-03-09;0
16292;ACEITE MINERAL BF 30ML.; 64.03;108; 0.00; 0.00;0.00; 0; 0.00;7591616000162;N;100566;130402;2026-10;N;NO;4.00; 0.00;12;1;1900-01-01;0
11051;ACEITE MINERAL FG 30ML.; 97.03;14;0.00; 0.00;0.00; 0; 0.00;112244301123; N;100603;2742;2025-08;N;NO;4.00; 0.00;20;1;2024-03-09;0
18418;ACEMUK 200MG. X10CO.EFE; 456.11; 115; 0.00; 0.00;0.00; 0; 0.00;7795380002333;M;AP;03229; 2024-09;N;NO;4.00; 0.00;120; 1;2024-03-09;0
18411;ACEMUK 2G. JBE.100ML.; 556.96; 37;0.00; 0.00;0.00; 0; 0.00;7795380043091;M;AP;03532; 2025-03;N;NO;4.00; 0.00;56;1;2024-03-09;0
18416;ACEMUK 600MG. X10CO.EFE; 428.68; 1; 0.00; 0.00;0.00; 0; 0.00;7795380043145;M;AP;02873; 2024-08;N;NO;4.00; 0.00;60;1;2024-03-15;0
18417;ACEMUK 600MG. X30CO.EFE; 991.58; 68;0.00; 0.00;0.00; 0; 0.00;7707355055756;M;AP;04117; 2025-03;N;NO;4.00; 0.00;30;1;2024-03-13;0
17777;ACETA-CAFEI VC650/65 10TA; 76.88;167; 0.00; 0.00;10.00;0; 0.00;8904187887855;M;100919;T10484;2025-01;N;NO;4.00; 0.00;160; 1;2024-03-09;0
MK121;ACETA-TRAMA +MK X10TA; 90.81;368; 0.00; 0.00;0.00; 0; 0.00;7591519008494;S;MK;34995; 2027-02;N;NO;4.00; 0.00;120; 1;2024-03-09;0
16745;ACETA-TRAMA DAC X30TA; 141.52; 115; 0.00; 0.00;0.00; 0; 0.00;7598578000384;S;100661;DAC31; 2026-09;N;NO;4.00; 0.00;120; 1;2024-03-09;0
LO504;ACETAB 250MG. X20TA; 530.92; 253; 0.00; 0.00;0.00; 0; 0.00;7591196004802;M;LO;I023834; 2025-02;N;NO;4.00; 0.00;78;1;2024-03-11;0
16284;ACETAFEN FORTE SU.ORAL120; 94.76;202; 0.00; 0.00;0.00; 0; 0.00;7591616002142;M;100566;237202;2025-04;N;NO;4.00; 0.00;12;1;2024-03-09;0
14979;ACETAMIN CLORFEN BQ 120ML; 99.94;14;0.00; 0.00;0.00; 0; 0.00;7594000851234;M;BQ;230610;2025-06;N;NO;4.00; 0.00;24;1;2024-03-09;0
MK309;ACETAMINOFEN +MK500 X10TA; 33.89;4201;0.00; 0.00;0.00; 0; 0.00;7591519004144;M;MK;34630; 2026-09;N;NO;4.00; 0.00;120; 1;2024-03-09;0
MK669;ACETAMINOFEN +MK650 X10TA; 38.53;1272;0.00; 0.00;0.00; 0; 0.00;7591519005264;M;MK;34636; 2026-12;N;NO;4.00; 0.00;120; 1;2024-03-11;0
18931;ACETAMINOFEN +MK650X10MOR; 44.03;7764;0.00; 0.00;0.00; 0; 0.00;7591519001228;M;MK;34604; 2026-10;N;NO;4.00; 0.00;60;1;2024-03-09;0
14423;ACETAMINOFEN AL180 120ML;131.14; 4384;0.00; 0.00;50.00;0; 0.00;7597758000459;M;100646;DL380; 2025-06;N;NO;4.00; 0.00;100; 1;2024-03-13;0
12034;ACETAMINOFEN AL500 X20TA;56.65;2113;0.00; 0.00;35.00;0; 0.00;7597758000596;M;100646;DL296; 2025-04;N;NO;4.00; 0.00;800; 1;2024-03-13;0
15264;ACETAMINOFEN BM800 X10TA;41.60;4068;0.00; 0.00;50.00;0; 0.00;7598127000988;M;100698;220443;2025-04;N;NO;4.00; 0.00;500; 1;2024-03-09;0
BQ002;ACETAMINOFEN BQ 500 X12TA; 26.91;453; 0.00; 0.00;0.00; 0; 0.00;7594000850626;M;BQ;220715;2025-07;N;NO;4.00; 0.00;24;1;2024-03-09;0
BQ131;ACETAMINOFEN BQ120MG100ML; 77.19;3870;0.00; 0.00;0.00; 0; 0.00;7594000850855;M;BQ;231112;2026-11;N;NO;4.00; 0.00;24;1;2024-03-09;0
BQ330;ACETAMINOFEN BQ180MG120ML; 89.38;1498;0.00; 0.00;0.00; 0; 0.00;7594000850824;M;BQ;231004;2026-10;N;NO;4.00; 0.00;24;1;2024-03-09;0
13612;ACETAMINOFEN BQ650 X20CO;60.44;62;0.00; 0.00;0.00; 0; 0.00;7594000851265;M;BQ;230820;2025-08;N;NO;4.00; 0.00;24;1;2024-03-09;0
15044;ACETAMINOFEN BQ750 X10CO;73.59;39;0.00; 0.00;0.00; 0; 0.00;7594000851289;M;BQ;221131;2024-11;N;NO;4.00; 0.00;24;1;2024-03-09;0
14734;ACETAMINOFEN CO120MG.J120; 104.78; 60;0.00; 0.00;0.00; 0; 0.00;7591818132074;M;CO;30372; 2027-09;N;NO;4.00; 0.00;12;1;2024-03-09;0
10680;ACETAMINOFEN GN 650 X30CO; 81.04;4566;0.00; 0.00;0.00; 0; 0.00;7591585179050;M;LT;195; 2026-01;N;NO;4.00; 0.00;48;1;2024-03-14;0
17249;ACETAMINOFEN GN180 SOL90;76.12;296; 0.00; 0.00;0.00; 0; 0.00;7591585177780;M;GN;003; 2026-01;N;NO;4.00; 0.00;24;1;2024-03-09;0
14535;ACETAMINOFEN GN500 X10CO;29.12;3856;0.00; 0.00;0.00; 0; 0.00;7591585376657;M;LT;328; 2026-02;N;NO;4.00; 0.00;96;1;2024-03-15;0
18732;ACETAMINOFEN GN650 8B.X10; 222.86; 136; 0.00; 0.00;0.00; 0; 0.00;7591585379054;M;LT;196; 2026-01;N;NO;4.00; 0.00;8; 1;1900-01-01;0
13542;ACETAMINOFEN GN650 X10CO;26.29;10430; 0.00; 0.00;0.00; 0; 0.00;7591585279057;M;LT;198; 2026-02;N;NO;4.00; 0.00;48;1;2024-03-14;0
14768;ACETAMINOFEN LAT500 X100;218.40; 1197;0.00; 0.00;50.00;0; 0.00;720524031105; M;100769;ACM1017; 2025-02;N;NO;4.00; 0.00;100; 1;2024-03-09;0
18451;ACETAMINOFEN LO120 SO120;98.55;975; 0.00; 0.00;5.00; 0; 0.00;7591196006387;M;LO;I103356; 2026-11;N;NO;4.00; 0.00;20;1;2024-03-11;0
19098;ACETAMINOFEN LO120 SO60; 58.76;909; 0.00; 0.00;0.00; 0; 0.00;7591196006486;M;LO;083724;2026-10;N;NO;4.00; 0.00;20;1;2024-03-11;0
19154;ACETAMINOFEN LO500 X10TA;24.05;53;0.00; 0.00;0.00; 0; 0.00;7591196006516;M;LO;I113392; 2026-12;N;NO;4.00; 0.00;40;1;1900-01-01;0
GQ107;ACETAMINOFEN LS150 120ML.; 89.19;3890;0.00; 0.00;15.00;0; 0.00;7592454003100;M;100653;3505767; 2027-01;N;NO;4.00; 0.00;24;1;2024-03-09;0
GQ960;ACETAMINOFEN LS500 X20TA;54.13;3479;0.00; 0.00;20.00;0; 0.00;7592454000031;M;100653;3505715; 2026-01;N;NO;4.00; 0.00;48;1;2024-03-09;0
15870;ACETAMINOFEN LS650 20B.X5; 296.19; 90;0.00; 0.00;5.00; 0; 0.00;7592454003391;M;100653;3505718; 2026-01;N;NO;4.00; 0.00;6; 1;2024-03-12;0
GQ739;ACETAMINOFEN LS650 X10TA;30.54;13884; 0.00; 0.00;25.00;0; 0.00;7592454001243;M;100653;3505954; 2026-02;N;NO;4.00; 0.00;48;1;2024-03-12;0
10736;ACETAMINOFEN PX650 X10TA;29.90;5291;0.00; 0.00;4.00; 0; 0.00;7594001101604;M;RZ;7309;2025-11;N;NO;4.00; 0.00;48;1;2024-03-09;0
14109;ACETAMINOFEN QF JBE.120ML; 84.11;1372;0.00; 0.00;0.00; 0; 0.00;7598484000027;M;100746;12303; 2026-10;N;NO;4.00; 0.00;100; 1;2024-03-11;0
14110;ACETAMINOFEN QF100MG.15ML; 65.26;640; 0.00; 0.00;0.00; 0; 0.00;7598484000010;M;100746;614; 2026-01;N;NO;4.00; 0.00;200; 1;2024-03-11;0
14108;ACETAMINOFEN QF500 X20TA;26.65;5856;0.00; 0.00;0.00; 0; 0.00;7598484001000;M;100746;TA1460029; 2025-03;N;NO;4.00; 0.00;560; 1;2024-03-09;0
19107;ACETAMINOFN LO500 X30TA; 67.57;1119;0.00; 0.00;20.00;0; 0.00;7591196006523;M;LO;I103590; 2026-11;N;NO;4.00; 0.00;40;1;2024-03-09;0
PO100;ACETOBEN JBE. 120ML.;195.00; 215; 0.00; 0.00;10.00;0; 0.00;7592806121018;M;PO;310151;2026-10;N;NO;4.00; 0.00;24;1;2024-03-09;0
14512;ACEVAL 180MG. SOL.PED.120; 120.42; 293; 0.00; 0.00;10.00;0; 0.00;7591020008839;M;VM;24;2025-11;N;NO;4.00; 0.00;15;1;2024-03-14;0
VM375;ACEVAL 650MG. X10TA; 53.14;439; 0.00; 0.00;10.00;0; 0.00;7591020000611;M;VM;218; 2027-11;N;NO;4.00; 0.00;36;1;2024-03-14;0
15497;ACEVAL 650MG. X50TA; 225.59; 33;0.00; 0.00;10.00;0; 0.00;7591020008471;M;VM;213; 2027-08;N;NO;4.00; 0.00;12;1;2024-03-14;0
18879;ACEVAL DIA 650-20-2 X8TA;73.18;170; 0.00; 0.00;10.00;0; 0.00;7591020009423;M;VM;02;2025-10;N;NO;4.00; 0.00;36;1;2024-03-14;0
VM269;ACEVAL GOTAS PED. 30ML.; 115.27; 105; 0.00; 0.00;10.00;0; 0.00;7591020006156;M;VM;12;2025-11;N;NO;4.00; 0.00;24;1;2024-03-14;0
18880;ACEVAL NOCHE 650-4 X6TA; 73.02;147; 0.00; 0.00;10.00;0; 0.00;7591020009430;M;VM;02;2025-10;N;NO;4.00; 0.00;36;1;2024-03-14;0
11044;ACHICORIA FG JBE. 120ML.;110.23; 44;0.00; 0.00;0.00; 0; 0.00;25525755; N;100603;3007;2026-09;N;NO;4.00; 0.00;20;1;2024-03-13;0
18448;ACIBATH-S DERM,LIMP.120G.; 528.49; 95;0.00; 0.00;0.00; 0; 0.00;7707355050034;C;AP;06040323;2025-03;N;NO;4.00; 0.00;50;1;2024-03-14;0
MG110;ACICLOR 5% CR.TOP. 10GR.;258.26; 3633;0.00; 0.00;0.00; 0; 0.00;7591585311634;M;GN;254; 2025-10;N;NO;4.00; 0.00;24;1;2024-03-15;0
MG524;ACICLOR AP 1GR. X10CO; 705.25; 183; 0.00; 0.00;0.00; 0; 0.00;7591585111838;M;LT;056; 2026-09;N;NO;4.00; 0.00;24;1;2024-03-09;0
MK879;ACICLOVIR +MK200MG. X25TA; 177.76; 243; 0.00; 0.00;0.00; 0; 0.00;7591519005639;M;MK;34688; 2026-10;N;NO;4.00; 0.00;72;1;2024-03-11;0
MK118;ACICLOVIR +MK5% CR.10GR.;153.92; 434; 0.00; 0.00;0.00; 0; 0.00;7591519001099;M;MK;601023;2025-10;N;NO;4.00; 0.00;270; 1;2024-03-11;0
14259;ACICLOVIR DIS200MG.X100TA; 388.91; 11;0.00; 0.00;50.00;0; 0.00;7598252101307;M;100740;220115;2025-01;N;NO;4.00; 0.00;40;1;2024-03-09;0
15632;ACICLOVIR KMP5% CR. 5GR.;55.34;197; 0.00; 0.00;0.00; 0; 0.00;6942189211324;M;100693;230924;2026-09;N;NO;4.00; 0.00;600; 1;1900-01-01;0
18015;ACICLOVIR LAT200 X10TA;60.06;272; 0.00; 0.00;20.00;0; 0.00;720524031174; M;100769;ALR108;2026-04;N;NO;4.00; 0.00;400; 1;2024-03-09;0
LN001;ACICLOVIR LN CR.TOP.20GR.; 242.11; 62;0.00; 0.00;0.00; 0; 0.00;7592348201117;M;LN;311175;2026-11;N;NO;4.00; 0.00;48;1;2024-03-13;0
18780;ACICLOVIR LN200MG. X20TA;117.82; 79;0.00; 0.00;0.00; 0; 0.00;7592348020114;M;LN;310160;2026-10;N;NO;4.00; 0.00;48;1;2024-03-09;0
GQ225;ACICLOVIR LS200MG. X24TA;159.56; 305; 0.00; 0.00;5.00; 0; 0.00;7592454102001;M;100653;3505895; 2027-02;N;NO;4.00; 0.00;48;1;2024-03-09;0
15149;ACICLOVIR PORTU200 X100TA; 389.10; 34;0.00; 0.00;0.00; 0; 0.00;7750215003602;M;100776;2061803; 2026-06;N;NO;4.00; 0.00;24;1;2024-03-15;0
15444;ACICLOVIR SGG5% CR. 20GR.; 143.26; 119; 0.00; 0.00;0.00; 0; 0.00;7596347802993;M;100837;LA1V0226;2026-02;N;NO;4.00; 0.00;204; 1;2024-03-09;0
14476;ACICLOVIR VITA250 X10A;1120.03;9; 0.00; 0.00;0.00; 0; 0.00;7707236126483;M;100687;M230145; 2026-09;N;NO;4.00; 0.00;20;1;2024-03-14;0
LO434;ACIDO ACETIL. LO81 X24TA;103.09; 152; 0.00; 0.00;0.00; 0; 0.00;7591196003195;M;LO;I043979; 2025-04;N;NO;4.00; 0.00;30;1;2024-03-09;0
12945;ACIDO ASC. VIT C 100X30ML; 97.50;260; 0.00; 0.00;0.00; 0; 0.00;7594000850282;M;BQ;230909;2025-09;N;NO;4.00; 0.00;24;1;2024-03-09;0
16421;ACIDO ASCO DIS500MG. X10A; 399.56; 28;0.00; 0.00;40.00;0; 0.00;17598252101540; M;100740;220362;2025-03;N;NO;4.00; 0.00;50;1;2024-03-09;0
14974;ACIDO ASCOR ADN IM/IV 10A; 277.88; 5; 0.00; 0.00;5.00; 0; 0.00;8904159499772;M;100760;XV2E002; 2025-04;N;NO;4.00; 0.00;42;1;2024-03-13;0
DT300;ACIDO BORICO DT X12 20GR.; 522.44; 6; 0.00; 0.00;0.00; 0; 0.00;17591616001463; N;100566;140501;2027-02;N;NO;4.00; 0.00;41;1;2024-03-09;0
18237;ACIDO FOL DIS10MG/2ML.10A; 730.20; 35;0.00; 0.00;40.00;0; 0.00;17598252101571; M;100740;ML23294; 2025-04;N;NO;4.00; 0.00;50;1;1900-01-01;0
16098;ACIDO FOLICO BQ GOTAS30ML; 146.25; 615; 0.00; 0.00;0.00; 0; 0.00;7594000851333;M;BQ;230910;2026-09;N;NO;4.00; 0.00;24;1;2024-03-09;0
GN041;ACIDO FOLICO GN10MG.X20CO; 39.96;1470;0.00; 0.00;0.00; 0; 0.00;7591585171498;M;LT;058; 2026-01;N;NO;4.00; 0.00;24;1;2024-03-12;0
KL013;ACIDO FOLICO KL 10MG X3A;302.90; 89;0.00; 0.00;5.00; 0; 0.00;7591619501048;M;KN;0168;2025-02;N;NO;4.00; 0.00;24;1;2024-03-09;0
12439;ACIDO FOLICO KL 5MG X30CO; 61.10;885; 0.00; 0.00;30.00;0; 0.00;7591619000213;M;KN;0234;2024-10;N;NO;4.00; 0.00;24;1;2024-03-09;0
GM239;ACIDO FOLICO MY10MG.X30TA; 135.15; 232; 0.00; 0.00;75.00;0; 0.00;7592601301486;M;AP;453002;2026-02;N;NO;4.00; 0.00;300; 1;2024-01-15;0
13416;ACIDO FOLICO MY5MG. X10TA; 47.87;1667;0.00; 0.00;75.00;0; 0.00;7592601303190;M;AP;453101;2026-02;N;NO;4.00; 0.00;300; 1;2024-03-09;0
14355;ACIDO FOLICO MY5MG.X30TA;135.15; 1237;0.00; 0.00;75.00;0; 0.00;7592601301479;M;AP;453101;2026-02;N;NO;4.00; 0.00;300; 1;2024-02-06;0
RZ170;ACIDO FOLICO PX5MG. X30TA; 52.00;1842;0.00; 0.00;10.00;0; 0.00;7594001101314;M;RZ;7060;2027-06;N;NO;4.00; 0.00;48;1;2024-03-09;0
16742;ACIDO MEFENAM FM500 X10TA; 46.80;334; 0.00; 0.00;0.00; 0; 0.00;8906005118370;M;100765;E12572304; 2025-12;N;NO;4.00; 0.00;200; 1;2024-03-09;0
18521;ACIDO TRANEX VITA500 X10A; 536.48; 8; 0.00; 0.00;0.00; 0; 0.00;7707236129217;M;100687;A230125; 2025-03;N;NO;4.00; 0.00;100; 1;2024-03-11;0
17757;ACIDO URSOD. NIO300 X30TA; 777.76; 53;0.00; 0.00;0.00; 0; 0.00;7598869002226;M;100856;AXQ43005;2026-07;N;NO;4.00; 0.00;100; 1;2024-03-09;0
18522;ACIDO ZOLEDRO VITA4MG.X1A; 988.26; 37;0.00; 0.00;0.00; 0; 0.00;7707236121761;M;100687;P222211; 2025-07;N;NO;4.00; 0.00;100; 1;2024-03-14;0
14730;ACITRON-D VERA X30CA;209.30; 7; 0.00; 0.00;0.00; 0; 0.00;7593089000083;A;100608;006MCD070124;2026-01;N;NO;4.00; 0.00;12;1;2024-02-20;0
10657;ACLER 150MG. X1TA; 186.12; 309; 0.00; 0.00;0.00; 0; 0.00;7591519051865;M;MK;34313; 2025-07;N;NO;4.00; 0.00;120; 1;2024-03-11;0
KL334;ACRYLARM GEL OFT. 10GR.; 834.60; 219; 0.00; 0.00;5.00; 0; 0.00;7795368002249;M;KN;00803; 2026-08;N;NO;4.00; 0.00;120; 1;2024-03-14;0
19092;ACTICAR 1G.SOL.ORAL 120ML; 195.00; 252; 0.00; 0.00;0.00; 0; 0.00;7594001101895;M;RZ;7343;2025-11;N;NO;4.00; 0.00;24;1;2024-03-09;0
15222;ACTIDERM JAB.INTIMO 200ML; 150.15; 15;0.00; 0.00;0.00; 0; 0.00;7460840414109;C;100737;AL220922;2024-09;N;NO;4.00; 0.00;42;1;2024-03-17;0
16785;ACTIPLEN 200MG. 10B.X10TA; 2493.14;19;0.00; 0.00;0.00; 0; 0.00;8904306501082;M;100851;VZ209; 2024-12;N;NO;4.00; 0.00;20;1;2024-03-09;0
17353;ACTIVA SEC PD PERD.OC.X40; 54.91;217; 0.00; 0.00;0.00; 0; 0.00;7591353515608;C;CH;31024212;2025-10;N;NO;4.00; 0.00;12;1;2024-03-09;0
16813;ACTIVITON EXTRE X30CABL.;348.62; 24;0.00; 0.00;0.00; 0; 0.00;7597189000264;A;100644;301007;2025-01;N;NO;4.00; 0.00;24;1;2024-03-09;0
19097;ACTUMIR 25MG. X30TA; 1137.28;908; 0.00; 0.00;0.00; 0; 0.00;7591821290372;M;TA;NI190; 2025-11;N;NO;4.00; 0.00;12;1;2024-03-13;0
10202;ACUAGEL 250CC.;88.13;639; 0.00; 0.00;0.00; 0; 0.00;7592904000079;C;SQ;42301; 2027-01;N;NO;4.00; 0.00;24;1;1900-01-01;0
LI240;ACUBISINA POLVO 15GR.; 110.50; 358; 0.00; 0.00;0.00; 0; 0.00;7592306000011;N;IL;22AP03A; 2025-10;N;NO;4.00; 0.00;180; 1;2024-03-15;0
LI230;ACUBISINA UNG. 50GR.;110.50; 196; 0.00; 0.00;0.00; 0; 0.00;7592306000028;N;IL;22AU02A; 2025-10;N;NO;4.00; 0.00;98;1;2024-03-15;0
OJ026;ADELGASEN HP CAPS. X60;330.06; 30;0.00; 0.00;12.00;0; 0.00;7592710000843;N;OJ;11710; 2026-10;N;NO;4.00; 0.00;24;1;2024-03-09;0
15634;ADELGASEN HP400MG. X30CA;226.33; 52;0.00; 0.00;12.00;0; 0.00;7592710003707;N;OJ;2142411; 2025-11;N;NO;4.00; 0.00;24;1;2024-03-13;0
12560;ADELLA 2/0.035 X21TA;543.00; 35;0.00; 0.00;0.00; 0; 0.00;7703153028053;M;VP;147453;2025-06;N;NO;4.00; 0.00;38;1;2024-03-09;0
ET002;ADEMINA 3E CR. DP 60GR.; 162.50; 163; 0.00; 0.00;0.00; 0; 0.00;7591844000590;C;ET;ADP230105; 2026-09;N;NO;4.00; 0.00;60;1;2024-03-09;0
11425;ADEMINA GEL LI.MANOS 100;65.00;10;0.00; 0.00;0.00; 0; 0.00;7591844000712;C;ET;AGC240100; 2027-01;N;NO;4.00; 0.00;24;1;2024-03-09;0
ET330;ADEMINA KIDS CR. 60GR.;156.00; 192; 0.00; 0.00;0.00; 0; 0.00;7591844000583;C;ET;AK240100;2027-01;N;NO;4.00; 0.00;60;1;2024-03-09;0
11187;ADEMINA KIDS L.HI BLAN170; 100.10; 29;0.00; 0.00;0.00; 0; 0.00;7591844000743;C;ET;AKLHB230105; 2026-09;N;NO;4.00; 0.00;24;1;2024-03-09;0
11188;ADEMINA KIDS L.HI ROSA170; 100.10; 18;0.00; 0.00;0.00; 0; 0.00;7591844000750;C;ET;AKLHR230105; 2026-09;N;NO;4.00; 0.00;24;1;2024-03-09;0
11426;ADEMINA KIDS REV.CAPIL200; 78.00;5; 0.00; 0.00;0.00; 0; 0.00;7591844000729;C;ET;AKRCR230104; 2026-09;N;NO;4.00; 0.00;24;1;2024-03-09;0
ET340;ADEMINA PLUS CR.CORP.30GR; 136.50; 239; 0.00; 0.00;0.00; 0; 0.00;7591844000439;C;ET;AP30240100;2027-01;N;NO;4.00; 0.00;60;1;2024-03-09;0
ET350;ADEMINA PLUS CR.CORP.60GR; 149.50; 355; 0.00; 0.00;0.00; 0; 0.00;7591844000446;C;ET;AP60240100;2027-01;N;NO;4.00; 0.00;60;1;2024-03-09;0
