barcode;name;price_usd;sale;due_date;stock
6971077611519;ESPECULO VAGINAL TALLA S X UNID (VALEMEDIC);1.04;0.00%;1/8/2026;1000
CA5263;GASA 40 S 18X8 36 100 YARDAS 4 PLIEGOS (VENSALUD);19.92;0.00%;1/11/2027;1000
17593255000401;GASAS ESTERIL 3X3 X UNID (ALGOBAP);0.16;0.00%;1/12/2027;1000
7597478000289;GASAS ESTERIL 3X3 X UNID (GIDAGUS);0.15;0.00%;1/11/2027;1000
17593255000418;GASAS ESTERIL 4X4 X UNID (ALGOBAP);0.21;0.00%;1/10/2028;1000
7597478000296;GASAS ESTERIL 4X4 X UNID (GIDAGUS);0.24;0.00%;1/11/2027;1000
7591616001978;GEL ANTIBACTERIAL X 1000ML (BIOFARCO);7.38;0.00%;1/12/2026;1000
7591616002074;GEL ANTIBACTERIAL X 240ML (BIOFARCO);1.75;0.00%;1/2/2025;1000
7591616001961;GEL ANTIBACTERIAL X 500ML (BIOFARCO);4.62;0.00%;1/2/2025;1000
7591616002098;GEL ANTIBACTERIAL X 60ML (BIOFARCO);1.06;0.00%;1/2/2025;1000
7591838000025;GERDEX SOL X 240ML (RODENEZA);4.15;0.00%;1/11/2026;1000
7591838000018;GERDEX SOL X GALON (RODENZA);35.89;0.00%;1/11/2026;1000
7591838000117;GERDEX SPRAY X 240ML (RODENEZA);4.94;0.00%;1/11/2026;1000
883489000781;GLUCOMETRO GE100 (GENERAL ELECTRIC);28.82;0.00%;;1000
CA1273;GORRO DE CIRUJANO X UNID (ALTA MEDIC);0.13;0.00%;1/12/2030;1000
CA1276;GORRO DE ENFERMERA X UNID (ALTA MEDIC);0.07;0.00%;1/6/2030;1000
9555002105792;GUANTES DE LATEX TALLA L CAJA X 100 UND (MAXTER);7.15;0.00%;1/5/2025;1000
8437019606565;GUANTES DE LATEX TALLA M CAJA X 100 UND (VENSALUD);7.25;0.00%;1/8/2027;1000
8437019606558;GUANTES DE LATEX TALLA S CAJA X 100 UND (VENSALUD);7.23;0.00%;1/8/2027;1000
CA4160;GUANTES DE NITRILO TALLA L X 100 UNID (BRIXMEDIC);12.49;0.00%;1/11/2026;1000
CA4161;GUANTES DE NITRILO TALLA M X 100 UNID (BRIXMEDIC);12.49;0.00%;1/1/2034;1000
8437019606497;GUANTES QUIRURGICO NRO 6.5 X UNID (VENSALUD);0.37;0.00%;1/6/2028;1000
8437019606503;GUANTES QUIRURGICO NRO 7 X UNID (VENSALUD);0.37;0.00%;1/6/2028;1000
CA615;GUANTES QUIRURGICOS ESTERILES LATEX 7 X 2 (BIALY);0.64;0.00%;1/8/2027;1000
CA5573;GUATA ORTOPEDICA 4X3 YDS 10CM X UNID (ORTOBAN);1.66;0.00%;1/2/2029;1000
CA616;GUATA ORTOPEDICA 4X3 YDS 10CM X UNID (SEBIS);1.20;0.00%;;1000
CA5574;GUATA ORTOPEDICA 4X3 YDS 15CM X UNID (ORTOBAN);2.14;0.00%;1/10/2028;1000
CA5575;GUATA ORTOPEDICA 4X3 YDS 20CM X UNID (ORTOBAN);2.34;0.00%;1/2/2029;1000
CA634;GUATA ORTOPEDICA 6X3 YDS 15CM X UNID (SEBIS);1.80;0.00%;;1000
CA635;GUATA ORTOPEDICA 8X3 YDS 20CM X UNID (SEBIS);2.30;0.00%;;1000
7591061400111;HISOPOS PARA BEBES X 60 UNID (AMY);1.20;0.00%;1/1/2026;1000
CA1269;HOJILLA DE BISTURI NRO 11 X 100 UNID (VALEMEDIC);8.25;0.00%;1/12/2027;1000
2709202647584;HOJILLA DE BISTURI NRO 15 X 100 UNID (VALEMEDIC);8.87;0.00%;1/9/2026;1000
7707335641658;INHALOCAMARA ADULTO AEROCHAMBER (PLUSVITAL);4.75;0.00%;1/2/2029;1000
7707335641665;INHALOCAMARA PEDIATRICA AEROCHAMBER (PLUSVITAL);5.50;0.00%;1/10/2028;1000
7596211000166;JABON FACIAL - CORPORAL X UNID 90GR BARRA (ZOAH);2.15;0.00%;1/2/2026;1000
10810965021104;JELCO NRO 14 X UNID (SEBIS);0.54;0.00%;1/6/2028;1000
10810965020770;JELCO NRO 16 X UNID (SEBIS);0.54;0.00%;1/6/2028;1000
7597478000029;JELCO NRO 18G X UNID (SMITHS MEDICAL);0.83;0.00%;1/4/2025;1000
135019315;JELCO NRO 20 X UNID (SMITHS MEDICAL);0.83;0.00%;1/9/2027;1000
8437019606022;JERINGA 10CC 21G X UNID (GIDAGUS);0.12;0.00%;1/10/2027;1000
7597478000166;JERINGA 1ML INSULINA X UNID (GIDAGUS);0.13;0.00%;1/2/2027;1000
617529188821;JERINGA 20 ML 21G X UNID (GIDAGUS);0.29;0.00%;1/11/2027;1000
8437019606008;JERINGA 3CC 21G X UNID (GIDAGUS);0.10;0.00%;1/11/2027;1000
CA3883;JERINGA 3ML 21G 1/2 X 100 UNID (BRIXMEDIC);9.12;0.00%;1/7/2027;1000
8437019606015;JERINGA 5CC 21G X UNID (GIDAGUS);0.11;0.00%;1/6/2028;1000
CA3884;JERINGA 5ML 21G 1/2 X 100 UNID (BRIXMEDIC);10.09;0.00%;1/7/2027;1000
CA4132;KIT DE ADMISION HOSPITALARIA X 5 PZAS (DESCART);11.40;0.00%;;1000
CA639;KIT DE LAPARATOMIA II SMS X PAQ (ALTA MEDIC);12.55;0.00%;1/2/2029;1000
CA4131;KIT DE OBSTETRICIA X UNID 35GR (ALTA MEDIC);12.71;0.00%;1/3/2026;1000
CA5308;KIT DE PACIENTE PEDIATRICO X UNID (DESCART);1.02;0.00%;1/1/2027;1000
CA640;KIT DE PACIENTE SMS X 1 PAQ COMPLETO (ALTA MEDIC);1.21;0.00%;1/1/2032;1000
883489003102;LANCETAS X 100 UNID (RIGHTEST);3.30;0.00%;;1000
7597478001750;LAPIZ ELECTROBISTURIN DESCARTABLE X UNID (GIDAGUS);3.83;0.00%;1/11/2027;1000
617529189439;MACROGOTERO EN Y X UNID (LASER);0.33;0.00%;1/2/2030;1000
8680081330146;MALLA POLIPROPILENO 30CM X 30CM X UNID (DUZEY);56.58;0.00%;1/11/2026;1000
8437019606176;MASCARA PARA NEBULIZAR ADULTO X UNID (VENSALUD);1.21;0.00%;1/10/2030;1000
CA5131;MASCARILLA AZUL X 10 UNID (VARIOS);1.04;0.00%;13/10/2027;1000
CA5132;MASCARILLA AZUL X 50 UNID (VARIOS);5.33;0.00%;20/10/2027;1000
CA820;MASCARILLA NEGRA X 50 UNID (VARIOS);5.00;0.00%;;1000
6971077612349;MASCARILLA PARA NEBULIZAR PEDIATRICO X UNID (VALEMEDIC);1.51;0.00%;1/6/2028;1000
00000194309227158N076;MEDIA ANTIEMBOLICA TALLA S (DYNAVEN);24.50;0.00%;1/1/2040;1000
7598778000429;MEDIAS ANTIEMBOLICAS MUSLO 15-20MMHG DESCU TALLA M (BIALY);20.73;0.00%;;1000
7598778000412;MEDIAS ANTIEMBOLICAS MUSLO 15-20MMHG DESCU TALLA S (BIALY);20.73;0.00%;;1000
7598778000443;MEDIAS ANTIEMBOLICAS MUSLO 15-20MMHG DESCU TALLA XL (BIALY);20.73;0.00%;;1000
810965020568;MICROGOTERO EN Y X UNID (SEBIS);0.61;0.00%;1/5/2028;1000
CA642;MONO DE CIRUJANO CON CAMISA X UNID (ALTA MEDIC);2.44;0.00%;;1000
7592194003842;MULETA ESTANDAR DE ALUMINIO PARA ANTE BRAZO (KX MEDICALS);19.80;0.00%;;1000
7597478000142;OBTURADOR X UNID (GIDAGUS);0.12;0.00%;1/11/2027;1000
CA1292;PATO URINARIO X UNID (GENERICO);6.74;0.00%;;1000
CA5312;PERA DE OIDO X UNID (INTIMATE);2.40;0.00%;;1000
CA5592;PERA VAGINAL CON CANULA FLEXIBLE X UNID (INTIMATE);5.39;0.00%;;1000
17593567000663;PINZA UMBILICAL X UNID (DEXX);0.30;0.00%;1/11/2028;1000
CA3821;PITO DESCARTABLE X UNID (GENERICO);4.85;0.00%;;1000
7591353701391;PROTECTORES DIARIOS CON MANZANILLA PAQ X 40 UNID (FRIENDS);2.84;0.00%;1/1/2026;1000
7591353516704;PROTECTORES DIARIOS SIN PERFUME PAQ X 120 UNID (FRIENDS);4.55;0.00%;1/11/2025;1000
7591353701490;PROTECTORES DIARIOS SIN PERFUME PAQ X 40 UNID (FRIENDS);2.78;0.00%;1/1/2026;1000
7591353701506;PROTECTORES DIARIOS SIN PERFUME PAQ X 60 UNID (FRIENDS);3.41;0.00%;1/12/2025;1000
7593567000673;RECOLECTOR DE HECES X UNID (DEXX);0.10;0.00%;1/2/2028;1000
7593567000697;RECOLECTOR DE ORINA X VASO (VARIOS);0.18;0.00%;1/12/2028;1000
CA5317;SABANA PARA CAMILLA X 10 UNID ( ALTA MEDIC);8.50;0.00%;;1000
6971077611076;SCALP NRO 19 X UNID (VALEMEDIC);0.08;0.00%;;1000
7597478000210;SCALP NRO 21 X UNID (GIDAGUS);0.10;0.00%;1/11/2027;1000
8437019606237;SCALP NRO 23 X UNID (VENSALUD);0.09;0.00%;1/2/2028;1000
617529192347;SCALP PERICRANEAL NRO 21 X UNID (MCD);0.00;0.00%;1/11/2024;1000
810965021695;SONDA DE ALIMENTACION NRO 5 X UNID (SEBIS);0.28;0.00%;1/6/2028;1000
810965021862;SONDA DE SUCCION CON CONTROL N° 10 X UNID (SEBIS);0.58;0.00%;1/5/2027;1000
810965021879;SONDA DE SUCCION CON CONTROL N° 12 X UNID (SEBIS);0.58;0.00%;1/5/2027;1000
810965021886;SONDA DE SUCCION CON CONTROL N° 14 X UNID (SEBIS);0.58;0.00%;1/5/2027;1000
810965021893;SONDA DE SUCCION CON CONTROL N° 16 X UNID (SEBIS);0.58;0.00%;1/5/2027;1000
810965021909;SONDA DE SUCCION CON CONTROL N° 18 X UNID (SEBIS);0.58;0.00%;1/5/2027;1000
810965021848;SONDA DE SUCCION CON CONTROL N° 5 X UNID (SEBIS);0.58;0.00%;1/5/2027;1000
810965021855;SONDA DE SUCCION CON CONTROL N° 8 X UNID (SEBIS);0.58;0.00%;1/6/2028;1000
7598778000078;SONDA FOLEY 2 VIAS NRO 14 X UNID (BIALY);0.96;0.00%;1/7/2028;1000
27598778000102;SONDA FOLEY 2 VIAS NRO 20 X UNID (BIALY);0.91;0.00%;1/8/2026;1000
117598778000068;SONDA FOLEY SILICONADA 2 VIAS NRO 12 X UNID (BIALY);0.96;0.00%;1/7/2028;1000
7598778000320;SONDA FOLEY SILICONADA 2 VIAS NRO 14 X UNID (BIALY);2.72;0.00%;1/7/2028;1000
7598778000368;SONDA FOLEY SILICONADA 3 VIAS NRO 22FR X UNID (BIALY);3.03;0.00%;1/7/2028;1000
7598778000375;SONDA FOLEY SILICONADA 3 VIAS NRO 24FR X UNID (BIALY);3.03;0.00%;1/7/2028;1000
810965021787;SONDA NELATON NRO 10 X UNID (SEBIS);0.43;0.00%;1/5/2027;1000
810965021794;SONDA NELATON NRO 12 X UNID (SEBIS);0.41;0.00%;1/5/2025;1000
810965021817;SONDA NELATON NRO 16 X UNID (SEBIS);0.40;0.00%;1/5/2027;1000
810965021824;SONDA NELATON NRO 18 X UNID (SEBIS);0.41;0.00%;1/5/2027;1000
810965021831;SONDA NELATON NRO 20 X UNID (SEBIS);0.41;0.00%;1/5/2027;1000
810965021770;SONDA NELATON NRO 8 X UNID (SEBIS);0.41;0.00%;1/5/2027;1000
810965021336;SUCCIONADOR DESCARTABLE SEBIVAC CON AGUJA FG18 (SEBIS);11.37;0.00%;1/6/2028;1000
117891338020422;SUTURA CROMICO NRO 0 812T X UNID (JHONSON);7.64;0.00%;1/12/2027;1000
6972559545766;SUTURA CROMICO NRO 0 812T X UNID (KAREMAX);1.15;0.00%;1/9/2028;1000
6958590414117;SUTURA CROMICO NRO 1 813T X UNID (KAREMAX);1.15;0.00%;1/5/2028;1000
117891338020729;SUTURA CROMICO NRO 1-0 813T X UNID (JHONSON);7.64;0.00%;1/6/2027;1000
6972559545759;SUTURA CROMICO NRO 2-0 811T X UNID (KAREMAX);1.15;0.00%;1/9/2028;1000
117891338020378;SUTURA CROMICO NRO 2-0 G123 X UNID (JHONSON);8.72;0.00%;1/5/2028;1000
117891338020552;SUTURA CROMICO NRO 3-0 810T X UNID (JHONSON);7.12;0.00%;1/3/2025;1000
6972559540457;SUTURA CROMICO NRO 3-0 810T X UNID (KAREMAX);1.07;0.00%;1/9/2028;1000
6958590413332;SUTURA CROMICO NRO 4-0 U203T X UNID (KAREMAX);1.07;0.00%;1/4/2027;1000
6958590415251;SUTURA MONOCRYL NRO 3-0 X UNID (KAREMAX);3.97;0.00%;1/6/2025;1000
6958590415244;SUTURA MONOCRYL NRO 4-0 X UNID (KAREMAX);1.72;0.00%;1/5/2026;1000
6958590414421;SUTURA NYLON 2-0 164T X UNID (KAREMAX);0.64;0.00%;1/11/2028;1000
6972559545964;SUTURA NYLON 3-0 163T X UNID (KAREMAX);0.66;0.00%;1/11/2028;1000
6972559540389;SUTURA NYLON 6-0 160T X UNID (KAREMAX);0.78;0.00%;1/5/2026;1000
6958590412243;SUTURA NYLON NRO 2-0 628H X UNID (KAREMAX);0.78;0.00%;1/9/2028;1000
6958590414766;SUTURA NYLON NRO 3-0 627H X UNID (KAREMAX);0.78;0.00%;1/11/2028;1000
6958590415312;SUTURA NYLON NRO 5-0 14501T X UNID (KAREMAX);0.87;0.00%;1/3/2028;1000
6972559545384;SUTURA PROLENE NRO 1 8425H X UNID (KAREMAX);0.78;0.00%;1/11/2028;1000
6958590413141;SUTURA PROLENE NRO 0 8424T X UNID (KAREMAX);0.78;0.00%;1/8/2027;1000
117891338220983;SUTURA PROLENE NRO 2-0 8185T X UNID (JHONSON);5.72;0.00%;1/3/2028;1000
6958590413424;SUTURA PROLENE NRO 2-0 8185T X UNID (KAREMAX);0.72;0.00%;1/8/2027;1000
CA1270;SUTURA PROLENE NRO 3-0 X UNID (KAREMAX);0.66;0.00%;1/3/2028;1000
6958590415206;SUTURA PROLENE NRO 4-0 8183T X UNID (KAREMAX);0.57;0.00%;1/4/2027;1000
6958590413394;SUTURA SEDA NRO 2-0 833H X UNID (KAREMAX);0.63;0.00%;;1000
6972559546145;SUTURA SEDA/SILK NRO 0 K834H X UNID (KAREMAX);0.86;0.00%;1/11/2028;1000
CA5347;SUTURA SEDA/SILK NRO 1-0 K845H X UNID (KAREMAX);0.86;0.00%;1/5/2027;1000
6972559541041;SUTURA SEDA/SILK NRO 3-0 X UNID (KAREMAX);0.86;0.00%;1/7/2028;1000
117891338271039;SUTURA SEDA/SILK NRO 4-0 183T X UNID (JHONSON);4.76;0.00%;1/7/2025;1000
6958590414032;SUTURA SIMPLE NRO 0 844T X UNID (KAREMAX);1.10;0.00%;1/3/2028;1000
6958590412670;SUTURA SIMPLE NRO 1 845T X UNID (KAREMAX);0.96;0.00%;1/3/2028;1000
117891338010362;SUTURA SIMPLE NRO 2-0 843T X UNID (JHONSON);7.42;0.00%;1/2/2028;1000
6958590413707;SUTURA SIMPLE NRO 2-0 843T X UNID (KAREMAX);0.93;0.00%;1/5/2028;1000
6972559541058;SUTURA SIMPLE NRO 3-0 842T X UNID (KAREMAX);0.93;0.00%;1/3/2028;1000
6972559542604;SUTURA SUTUPAK SILK BRAIDED NRO 1 SA87T X UNID (KAREMAX);1.72;0.00%;1/3/2028;1000
6972559542581;SUTURA SUTUPAK SILK BRAIDED NRO 2-0 A85T X UNID (KAREMAX);1.72;0.00%;1/3/2028;1000
6972559542574;SUTURA SUTUPAK SILK BRAIDED NRO 3-0 SA84T X UNID (KAREMAX);1.72;0.00%;1/3/2028;1000
CA5038;SUTURA VICRYL 3-0 910 X UNID (BRIXMEDIC);2.45;0.00%;1/7/2025;1000
6972559546084;SUTURA VICRYL NRO 0 340 X UNID (KAREMAX);1.79;0.00%;1/11/2026;1000
6958590412144;SUTURA VICRYL NRO 1 J341 X UNID (KAREMAX);1.93;0.00%;1/7/2026;1000
6972559546107;SUTURA VICRYL NRO 2-0 J317 X UNID (KAREMAX);1.87;0.00%;1/11/2026;1000
6972559545605;SUTURA VICRYL NRO 2-0 J339 X UNID (KAREMAX);1.86;0.00%;1/11/2026;1000
CA5598;SUTURA VICRYL NRO 3-0 910 RAPID X UNID (JHONSON);8.68;0.00%;1/6/2025;1000
6972559541010;SUTURA VICRYL NRO 3-0 RB-1 J305H X UNID (KAREMAX);2.30;0.00%;1/6/2026;1000
6958590414438;SUTURA VICRYL NRO 3-0 W9923 X UNID (KAREMAX);2.20;0.00%;1/3/2028;1000
6972559541027;SUTURA VICRYL NRO 4-0 J304H X UNID (KAREMAX);2.30;0.00%;1/11/2026;1000
6972559541034;SUTURA VICRYL NRO 4-0 J315H X UNID (KAREMAX);1.72;0.00%;1/7/2026;1000
7598778000122;TENSIOMETRO ANEROIDE CON ESTETOSCOPIO DOBLE CAMP (BIALY);20.67;0.00%;;1000
20230500230055;TENSIOMETRO DIGITAL DE MUÑECA (JZIKI);25.62;0.00%;;1000
CA5577;TERMOMETRO DIGITAL FLEX X UNID (GENERICO);2.46;0.00%;;1000
CA5301;TIRA LECHE DE PLASTICO X UNID (INTIMATE);3.96;0.00%;;1000
8437021715507;TIRAS NASALES TALLA ADULTO X 30 UNID (PRIMASALUD);6.17;0.00%;1/4/2025;1000
661799967112;TOALLA HUMEDAS PARA BEBES CREMA X 72 UNID (MIMLOT);2.33;0.00%;1/10/2026;1000
7591353701711;TOALLAS SANITARIAS NOCTURNAS SIN ALAS PAQ X 10 UNID (FRIENDS);2.58;0.00%;1/11/2025;1000
7591353701858;TOALLAS SANITARIAS TELA EXTRA SUAVE CON ALAS PAQ X 14 UNID (FRIENDS);2.46;0.00%;1/12/2025;1000
7596466000102;VASO HUMIFICADOR DE OXIGENO 200ML X UNID (GENERICO);2.64;0.00%;1/7/2028;1000
3170477940110;VENDA DE YESO 10CM X 2.7 MTS (MED-AID);2.11;0.00%;;1000
3170477940115;VENDA DE YESO 15CM X 2.7M (MED-AID);2.70;0.00%;;1000
3170477940120;VENDA DE YESO 20CM X 2.7M (MED-AID);2.93;0.00%;;1000
7597830004931;VENDA ELASTICA AJUSTABLE 12CM X 4M X UNID (GROSSMED);0.78;0.00%;1/8/2028;1000
7597830004955;VENDA ELASTICA AJUSTABLE 20CM X 4M X UNID (GROSSMED);1.32;0.00%;1/8/2028;1000
7592247000330;VENDA ELASTICA 15CM X UNID (SUPERVEND);3.92;0.00%;1/8/2032;1000
7597830004924;VENDA ELASTICA AJUSTABLE 10CM X 4M X UNID (GROSSMED);0.61;0.00%;1/8/2028;1000
7597830004948;VENDA ELASTICA AJUSTABLE 15CM X UNID (GROSSMED);1.31;0.00%;1/8/2028;1000
7597830005587;VENDA ELASTICA MAX CON CLIP 12CM X UNID (GROSSMED);1.31;0.00%;1/8/2028;1000
7596347794793;9 VIT INFUSION X AMP IV ( DPT);6.93;0.00%;1/11/2025;1000
7598852000987;ACETONIDA DE TRIAMCINOLONA 10MG/ML-5ML X AMP IM/IA (KENTUNI) UNIPHARMA;8.94;0.00%;1/11/2025;1000
7707236126483;ACICLOVIR 250MG X AMP I.V (VITALIS);3.45;0.00%;1/9/2026;1000
736372827388;ACIDO FOLICO 10MG/ 2ML X AMP (GLOBALMEDIC);1.61;0.00%;1/7/2025;1000
7598455000247;ACIDO FOLICO 10MG/ML X 10 AMP IV/IM (BIOFOLIC) BIOGLASS;18.56;0.00%;1/6/2026;1000
7598455000162;ACIDO TRANEXAMICO 500MG/5ML X 10 AMP IV (BIOTRANEX) BIOGLASS;10.31;0.00%;1/10/2025;1000
7707236129217;ACIDO TRANEXAMICO 500MG/5ML X 10 AMP IV (VITALIS);15.76;0.00%;1/3/2025;1000
7707236121761;ACIDO ZOLEDRONICO 4MG / 5ML AMP I.V (VITALIS);29.04;0.00%;1/7/2025;1000
7640149612288;ACTEMRA 200MG/10 ML X 1 AMP ( TOCILIZUMAB) ROCHE;528.00;0.00%;1/2/2024;1000
8908010762593;ALBUMINA HUMANA 20% X 50ML AMP IV (ALBUSYN) SYNAPSE;87.45;0.00%;1/9/2025;1000
7707236128661;AMFOTERICINA B 50MG X 1 AMP I.V (VITALIS);24.45;0.00%;1/6/2026;1000
7707236124632;AMIKACINA 100MG/2ML X 10 AMP IV/IM (VITALIS);7.72;0.00%;1/11/2025;1000
7800061001625;AMIKACINA 100MG/2ML X AMP IV/IM (BIOSANO);0.59;0.00%;1/10/2025;1000
7707236124786;AMIKACINA 500MG/2ML X 10 AMP IV/IM (VITALIS);12.24;0.00%;1/8/2026;1000
7800061030205;AMIKACINA 500MG/2ML X AMP IM/IV (BIOSANO);1.18;0.00%;1/3/2026;1000
8906112611290;AMIKACINA 500MG/2ML X AMP IV/IM (AMICOPRA) ADN;1.11;0.00%;1/3/2026;1000
