product_id;name;price_usd;stock;barcode;due_date
19678;ACEITE DE COCO FSI 30CC.;67.08;90;7592368000073;2026-03
XS019;ACEITE DE COCO XS 30ML .;37.96;392;7594001450054;2027-06
16292;ACEITE MINERAL BF 30ML.;61.75;59;7591616000162;2027-05
11051;ACEITE MINERAL FG 30ML.;100.89;19;112244301123;2025-08
DT210;ACEITE RICINO DT 30 X12;1055.07;22;17591616000138;2027-05
11053;ACEITE RICINO FG 30ML.;122.3;36;112244301130;2027-06
13753;ACEITE RICINO SPRAYX70ML;177.32;17;7594001455370;2026-06
18411;ACEMUK 2G. JBE.100ML.;614.04;83;7795380043091;2025-03
MK121;ACETA-TRAMA +MK X10TA;111.51;115;7591519008494;2027-03
16745;ACETA-TRAMA DAC X30TA;122.98;73;7598578000384;2026-09
MK309;ACETAMINOFEN +MK500 X10TA;32.2;1150;7591519004144;2027-04
MK669;ACETAMINOFEN +MK650 X10TA;38.53;1614;7591519005264;2027-05
14423;ACETAMINOFEN AL180 120ML;89.97;3841;7597758000459;2025-06
12034;ACETAMINOFEN AL500 X20TA;40.13;166;7597758000596;2025-06
15264;ACETAMINOFEN BM800 X10TA;12.06;2060;7598127000988;2025-06
BQ002;ACETAMINOFEN BQ 500 X12TA;24.22;403;7594000850626;2027-05
BQ131;ACETAMINOFEN BQ120MG100ML;69.47;2343;7594000850855;2026-11
BQ330;ACETAMINOFEN BQ180MG120ML;98.32;89;7594000850824;2026-11
BQ003;ACETAMINOFEN BQ500 X24TA;48.75;43;7594000850633;2027-05
13556;ACETAMINOFEN BQ650 X10CO;27.06;32;7594000851258;2026-05
13612;ACETAMINOFEN BQ650 X20CO;60.44;33;7594000851265;2026-02
15044;ACETAMINOFEN BQ750 X10CO;80.95;21;7594000851289;2026-01
10680;ACETAMINOFEN GN 650 X30CO;60.67;667;7591585179050;2026-06
17249;ACETAMINOFEN GN180 SOL90;68.61;830;7591585177780;2026-05
14535;ACETAMINOFEN GN500 X10CO;26.65;2230;7591585376657;2026-02
18732;ACETAMINOFEN GN650 8B.X10;242.65;155;7591585379054;2026-04
13542;ACETAMINOFEN GN650 X10CO;21.84;19747;7591585279057;2026-05
14768;ACETAMINOFEN LAT500 X100;98.28;471;720524031105;2027-02
18451;ACETAMINOFEN LO120 SO120;111.9;816;7591196006387;2026-11
19098;ACETAMINOFEN LO120 SO60;54.42;1205;7591196006486;2027-06
19154;ACETAMINOFEN LO500 X10TA;23.61;3350;7591196006516;2027-05
GQ107;ACETAMINOFEN LS150 120ML.;93.91;7393;7592454003100;2027-04
GQ960;ACETAMINOFEN LS500 X20TA;56.49;4054;7592454000031;2026-05
GQ739;ACETAMINOFEN LS650 X10TA;21.83;12950;7592454001243;2026-06
10736;ACETAMINOFEN PX650 X10TA;26.91;1905;7594001101604;2026-05
14109;ACETAMINOFEN QF JBE.120ML;76.96;800;7598484000027;2027-02
14110;ACETAMINOFEN QF100MG.15ML;66.22;378;7598484000010;2026-02
14108;ACETAMINOFEN QF500 X20TA;27.03;257;7598484001000;2025-10
SP970;ACETAMINOFEN SP 650 X10;83.5;121;7590027001669;2026-09
SP009;ACETAMINOFEN SP 750 X10CO;83.8;109;7590027002079;2025-09
19107;ACETAMINOFN LO500 X30TA;75.92;743;7591196006523;2026-11
19157;ACETAZOLAMIDA ZZ250 X20TA;303.33;42;8906036366337;2026-05
PO100;ACETOBEN JBE. 120ML.;175.5;203;7592806121018;2027-04
14512;ACEVAL 180MG. SOL.PED.120;104.35;161;7591020008839;2026-05
VM375;ACEVAL 650MG. X10TA;45.9;439;7591020000611;2027-11
15497;ACEVAL 650MG. X50TA;202.9;21;7591020008471;2027-08
18879;ACEVAL DIA 650-20-2 X8TA;61.74;84;7591020009423;2025-10
VM269;ACEVAL GOTAS PED. 30ML.;102.5;206;7591020006156;2026-06
18880;ACEVAL NOCHE 650-4 X6TA;61.75;36;7591020009430;2025-10
11044;ACHICORIA FG JBE. 120ML.;114.69;30;25525755;2027-04
18448;ACIBATH-S DERM,LIMP.120G.;528.49;74;7707355050034;2025-03
MG110;ACICLOR 5% CR.TOP. 10GR.;232.28;224;7591585311634;2025-10
MG524;ACICLOR AP 1GR. X10CO;798.3;74;7591585111838;2027-05
MK879;ACICLOVIR +MK200MG. X25TA;177.76;795;7591519005639;2027-04
14259;ACICLOVIR DIS200MG.X100TA;302.85;75;7598252101307;2025-01
18015;ACICLOVIR LAT200 X10TA;46.35;289;720524031174;2026-04
LN001;ACICLOVIR LN CR.TOP.20GR.;242.11;1;7592348201117;2027-03
GQ225;ACICLOVIR LS200MG. X24TA;145.67;352;7592454102001;2027-04
15149;ACICLOVIR PORTU200 X100TA;418.91;24;7750215003602;2026-09
15150;ACICLOVIR PORTU5% CR.5GR;119.63;917;7750215001905;2027-01
15444;ACICLOVIR SGG5% CR. 20GR.;158.83;406;7596347802993;2026-06
14476;ACICLOVIR VITA250 X10A;1145.78;12;7707236126483;2026-11
LO434;ACIDO ACETIL. LO81 X24TA;108.25;748;7591196003195;2025-12
18478;ACIDO ALEND AZE70MG. X4CO;203.31;79;5093349;2026-02
12945;ACIDO ASC. VIT C 100X30ML;126.75;131;7594000850282;2026-04
16421;ACIDO ASCO DIS500MG. X10A;444.08;69;17598252101540;2026-09
14974;ACIDO ASCOR ADN IM/IV 10A;271.13;268;8904159499772;2026-12
DT300;ACIDO BORICO DT X12 20GR.;503.83;63;17591616001463;2027-05
FS130;ACIDO BORICO FSI 20GR.X25;1020.18;16;7592368001094;2028-03
18237;ACIDO FOL DIS10MG/2ML.10A;567.84;336;7598252000334;2026-02
16098;ACIDO FOLICO BQ GOTAS30ML;152.84;609;7594000851333;2027-05
GN041;ACIDO FOLICO GN10MG.X20CO;38.51;294;7591585171498;2026-04
12439;ACIDO FOLICO KL 5MG X30CO;52.0;139;7591619000213;2029-06
GM239;ACIDO FOLICO MY10MG.X30TA;44.7;1690;7592601301486;2026-05
RZ160;ACIDO FOLICO PX10MG.X20TA;37.44;1198;7594001101338;2027-04
RZ150;ACIDO FOLICO PX10MG.X30TA;51.48;1767;7594001101345;2027-07
RZ170;ACIDO FOLICO PX5MG.X30TA;46.8;778;7594001101314;2028-05
19821;ACIDO FUSIDICO VC2% CR15G;494.0;180;7599513000087;2025-10
16221;ACIDO IBANDRO NIO150 X1TA;79.33;280;7598869000093;2026-10
16742;ACIDO MEFENAM FM500 X10TA;42.12;86;8906005118370;2025-12
18521;ACIDO TRANEX VITA500 X10A;544.25;16;7707236129217;2025-05
19158;ACIDO TRANEXA ZZ500 X10TA;138.13;33;8906159251855;2026-04
17757;ACIDO URSOD. NIO300 X30TA;770.11;167;7598869002226;2026-07
19179;ACIDOPHLUS PROBI ALFA60CA;403.95;75;676194784004;2025-12
14730;ACITRON-D VERA X30CA;209.3;4;7593089000083;2026-04
10657;ACLER 150MG. X1TA;148.9;221;7591519051865;2025-07
KL334;ACRYLARM GEL OFT. 10GR.;792.87;163;7795368002249;2026-08
19092;ACTICAR 1G.SOL.ORAL 120ML;165.75;43;7594001101895;2026-04
17353;ACTIVA SEC PD PERD.OC.X40;62.24;9;7591353515608;2026-05
18433;ACTUMIR 10MG. X10TA;442.6;821;7591821290136;2026-03
18434;ACTUMIR 10MG. X30TA;1140.48;490;7591821290143;2026-03
19097;ACTUMIR 25MG. X30TA;1002.13;732;7591821290372;2025-11
10202;ACUAGEL 250CC.;90.57;325;7592904000079;2027-06
LI240;ACUBISINA POLVO 15GR.;110.5;50;7592306000011;2025-10
LI230;ACUBISINA UNG. 50GR.;110.49;53;7592306000028;2025-10
PB610;ADEL UNG. 50 GR.;135.34;322;7591309003692;2027-04
OJ026;ADELGASEN HP CAPS. X60;293.33;16;7592710000843;2026-10
15634;ADELGASEN HP400MG. X30CA;201.14;13;7592710003707;2026-08
ET002;ADEMINA 3E CR. DP 60GR.;162.5;77;7591844000590;2027-02
11425;ADEMINA GEL LI.MANOS 100;65.0;17;7591844000712;2027-02
ET330;ADEMINA KIDS CR. 60GR.;156.0;54;7591844000583;2027-02
11187;ADEMINA KIDS L.HI BLAN170;100.1;13;7591844000743;2027-01
11188;ADEMINA KIDS L.HI ROSA170;100.1;19;7591844000750;2027-01
11426;ADEMINA KIDS REV.CAPIL200;78.0;23;7591844000729;2027-01
ET340;ADEMINA PLUS CR.CORP.30GR;136.5;162;7591844000439;2027-02
ET350;ADEMINA PLUS CR.CORP.60GR;149.5;226;7591844000446;2027-02
ET001;ADEMINA SOL.JAB. 190CC.;66.95;33;7591844000606;2027-02
13665;ADHESIVO NON 2.5X9.1 X12U;1033.03;8;27597297000396;2034-01
13664;ADHESIVO NON1.25X9.1 X12U;711.05;20;27597297000389;2034-01
13669;ADHESIVO SE 1.25X9.1 X12U;831.79;26;27597297000358;2034-01
13666;ADHESIVO TRA1.25X9.1 X12U;650.68;34;27597297000327;2034-01
13667;ADHESIVO TRAN 2.5X9.1X12U;878.75;14;27597297000334;2034-01
13668;ADHESIVO TRAN 5X9 1M X6U;674.15;17;27597297000341;2034-01
NZ013;ADULTOS MAYORES MANTE.400GR;854.1;3;7591285000746;2027-06
18156;AEROCHAMBER ADULTO BIO;578.53;75;7599794000110;2028-11
18157;AEROCHAMBER PEDIAT. BIO;550.98;53;7599794000127;2028-11
CO006;AEROFLAT GOTAS 80MG.20ML.;274.15;276;7591818210406;2026-11
14183;AFEIT MUJ.APEX VELVET4HX2;52.24;173;7595751002616;2034-01
19587;AFLAMAX 12,50MG. X6SUPOS;112.62;475;7591196006424;2027-03
11795;AFLAMAX 50MG. X10TA;45.63;23873;7591196007186;2026-04
LO539;AFLAMAX 50MG. X20TA;85.28;18234;7591196004451;2026-04
19586;AFLAMAX S 50MG. X6SUPOS;110.9;589;7591196006417;2027-06
KL146;AFOKLIN 10MG. GOTAS 15ML.;239.2;553;7591619163031;2026-05
KL136;AFOKLIN 10MG. X20CO;72.8;122;7591619163024;2028-04
KL142;AFOKLIN 5MG. X20CO;45.5;257;7591619163017;2028-07
19039;AFTER SUN-GEL RO.CU 160GR;231.39;12;7598084000908;2025-09
19676;AGUA DE ROSAS FSI 120CC.;91.68;33;7592368002930;2025-07
XS011;AGUA DE ROSAS XS SPLAH120;94.12;35;7594001450283;2026-04
18083;AGUA DESTIL. BEH49 500ML.;171.76;190;7592637000391;2027-04
16892;AGUA EST. DILUIR BC500ML.;66.63;117;7597767000921;2025-10
12857;AGUA MICELAR 250ML;142.88;12;7596211001156;2026-06
13844;AGUA MICELAR BIFA. 200CM3;213.82;24;7596548003359;2026-02
13843;AGUA MICELAR P.SEN.200CC.;107.22;11;7596548003366;2026-03
10693;AGUA OX ALNA 3% 240CC;26.03;5;7593255000107;2026-06
12247;AGUA OX. PAS 12%V40 120ML;36.02;80;7593723002565;2027-04
12229;AGUA OX. PAS 3% V10 120ML;36.02;28;7593723002602;2027-04
12246;AGUA OX. PAS 6% V20 120ML;36.02;239;7593723002541;2027-05
12230;AGUA OX. PAS 9% V30 120ML;36.02;107;7593723002558;2027-05
GU210;AGUA OXIG. EL GUARDIAN 240;30.64;72;7591956110224;2027-06
GU220;AGUA OXIG. EL GUARDIAN 500;48.4;23;7591956110231;2027-06
17003;AGUJA ESPINAL 25G.PM X50;1866.15;12;7597467000771;2033-01
17004;AGUJA ESPINAL 26G.PM X50;1866.15;1;7597467000788;2026-03
17005;AGUJA ESPINAL 27G.PM X50;1866.15;5;7597467000795;2026-03
18274;AIRALAM 20MG/120MG. X24CO;498.11;58;5351937;2025-07
17835;AIREX 0,05% SOL.NAS 15ML.;86.42;804;7703763169405;2026-02
CO130;AIRFEN GOTAS NAS.AD.15ML;145.22;166;7591818111017;2026-10
CO135;AIRFEN GOTAS NAS.PED.15ML;115.51;52;7591818111024;2026-09
LO124;AIRON 10MG. X10TA;111.04;2073;7591196002563;2026-03
LO179;AIRON 10MG. X30TA;284.15;1354;7591196002808;2026-03
LO239;AIRON 4MG. X10TAB.MAST.;59.5;618;7591196002952;2025-06
LO104;AIRON 5MG. X10TAB.MAST.;88.21;1145;7591196002549;2026-01
LO184;AIRON 5MG. X30TA.MAST.;209.9;960;7591196002792;2026-02
LO244;AIRON TAB.MAST. 4MG. X30;157.6;607;7591196002945;2026-03
15164;AIROPLAST 1,25- 500CM X1;26.11;88;7594001564102;2025-02
15165;AIROPLAST 2,5-500CM X1;67.25;70;6224000549909;2025-02
17383;AJAX AB LIQ.MULTIUSO 500;79.31;20;7591083018622;2026-04
10883;AJO AI400MG. X90CA;236.94;46;7592946168300;2027-01
MY019;ALANTAMIDA CREMA 20GR.;199.78;504;7592601100645;2027-02
MK635;ALBENDAZOL +MK200T.FRU.X2;40.89;4990;7591519007022;2026-04
GQ035;ALBENDAZOL LS200MG. X2TA;40.17;742;7592454003261;2027-05
GQ059;ALBENDAZOL LS200MG. X6TA;105.64;924;7592454120371;2027-06
GQ920;ALBENDAZOL LS400MG. 20ML.;87.57;495;7592454120364;2026-05
16092;ALBENDAZOL PORT100 SO20ML;95.98;57;7750215796634;2027-02
12827;ALBENDAZOL PX 200MG X2TA;27.17;3394;7594001100263;2025-12
12826;ALBENDAZOL PX 400MG X10ML;61.75;1013;7594001100294;2026-06
12711;ALBENDAZOL PX200MG. X6TA;62.98;955;7594001100256;2025-12
LM140;ALBEPIR CH. A.CASPA 140CC;215.8;111;7592025101204;2027-06
EL685;ALBICAR 200MG X2TA;37.19;1086;7591062010036;2027-04
EL010;ALBICAR 200MG. X6TA;102.41;915;7591062010173;2027-04
EL002;ALBICAR 400MG. SUSP.10ML.;95.47;628;7591062010029;2025-10
VP529;ALBISEC CAPS. X12;276.15;203;7703153037512;2027-04
12686;ALBUMINA H. 20% 10G X50ML;3731.0;6;8904058100816;2026-10
AN110;ALCACHOFA AI 300MG. X90CA;213.55;40;7592946005711;2026-10
OJ005;ALCACHOFA+CENTELLA HP60CA;230.48;36;7592710000355;2027-05
15300;ALCOHOL ABS.RECE SPRAY120;99.32;101;7594001455448;2028-10
15301;ALCOHOL ABS.RECE SPRAY240;149.76;96;7594001455455;2028-10
XS023;ALCOHOL ABS.RECETTE 120ML;78.0;534;7594001450337;2028-10
XS022;ALCOHOL ABS.RECETTE 60ML;46.8;647;7594001450320;2028-10
10696;ALCOHOL ABSO ALNA96%100CC;25.39;1728;7593255000305;2027-05
10698;ALCOHOL ABSO ALNA96%240CC;53.64;618;7593255000329;2027-03
10700;ALCOHOL ABSO ALNA96%950CC;181.56;96;7593255000343;2027-06
15937;ALCOHOL ABSO BF 500ML.;202.52;25;7591616000308;2027-05
FS310;ALCOHOL ABSO FSI 120CC.;76.58;385;7592368000295;2026-04
16326;ALCOHOL ABSOL BF 240ML;135.84;228;7591616000285;2027-06
16325;ALCOHOL ABSOL BF 60ML;61.75;447;7591616000315;2027-05
FS300;ALCOHOL ABSOL FSI X6 30CC;285.09;29;7592368000240;2026-04
DT490;ALCOHOL ABSOLUTO DT 120CC;86.44;357;7591616000261;2027-06
10686;ALCOHOL ALNA 70% 100CC;21.39;432;7593255000244;2027-07
10687;ALCOHOL ALNA 70% 120CC;24.74;864;7593255000299;2027-06
10688;ALCOHOL ALNA 70% 240CC;43.26;1188;7593255000251;2027-06
10689;ALCOHOL ALNA 70% 500CC;75.21;309;7593255000268;2027-06
GU140;ALCOHOL GUARDIAN 1000CC.;141.78;43;7592044000113;2031-05
GU100;ALCOHOL GUARDIAN 120CC.;26.18;72;7592044000083;2031-06
GU120;ALCOHOL GUARDIAN 240CC.;42.71;108;7592044000090;2031-06
GU130;ALCOHOL GUARDIAN 500CC.;75.08;35;7592044000106;2034-06
FS008;ALCOHOL YODADO FSI30ML.X6;258.26;9;7592368000332;2026-06
16895;ALDER CR.A.ESTRIAS 80GR.;230.32;36;7591808526258;2027-05
13182;ALDER CR.CORP E.SE/SEN207;255.49;12;7591808526166;2026-06
13181;ALDER CR.CORP SEC/SEN 207;255.49;2;7591808526159;2026-08
13183;ALDER GEL LIMP. SENSI 223;242.67;12;7591808526210;2026-11
14985;ALEGOT 0.25MG. X30TA;276.19;10;7468318319222;2026-04
14984;ALEGOT 1MG. X30TA;428.34;18; 7468318319239; 2026-0
19159;ALENDRONATO S, ZZ70 X4TA;176.25;52;8906159251961;2026-04
19790;ALENTIK 70MG. X4TA;214.81;67;7703763786343;2026-04
19621;ALERBLOC 10MG. X10TA;11.9;1146;8906142160874;2026-05
LO139;ALERGOT SOL.OFT. 5CC.;361.52;400;7591196002693;2025-06
19122;ALERPAT 0,2%SOL.OFT. 5ML.;237.96;240;7703763460854;2026-11
19328;ALFUZOSINA LP MT10MG.30TA;274.49;30;8904278597540;2026-10
15075;ALGIOL 2,5MG. X30CO;166.14;443;7592803003959;2026-02
14981;ALGIOL 5MG. X30CO;197.6;187;7592803003973;2026-02
18428;ALGIOL HCT 5–6,25 X30CO;314.6;154;  759280300414;  2025-
11033;ALGODON ABS.MOTAS B.KX100;61.75;278;813333012301;2028-04
11517;ALGODON ABSORB. KX 250GR.;166.72;33;813333012264;2028-12
11518;ALGODON ABSORB. KX 454GR.;209.95;36;813333012271;2034-01
11516;ALGODON ABSORB. KX 50GR.;41.99;323;813333012257;2028-04
16901;ALGODON ALGOBAP 10GR.;15.95;427;7593255000145;2028-11
11465;ALGODON ALGOBAP 25GR.;27.16;546;7593255000152;2028-10
11466;ALGODON ALGOBAP 50GR.;44.71;239;7593255000169;2028-11
AL120;ALGODON ALVE 10GR.;26.17;818;7591442000046;2029-03
AL125;ALGODON ALVE 25GR.;57.51;82;7591442000053;2029-06
AL130;ALGODON ALVE 50GR.;115.04;4;7591442000060;2029-03
AL160;ALGODON ALVE MB X100;130.33;58;7591442000114;2028-08
AL170;ALGODON ALVE MB X150;195.48;9;7591442000121;2027-10
AL200;ALGODON ALVE MB X50;65.16;83;7591442000107;2029-03
12670;ALGODON ALVE ROLLO 500GR;868.37;9;7591442000091;2027-03
PO115;ALGOREN 10MG. X20TA;102.96;907;7592806133011;2029-02
PO120;ALGOREN 40MG. X20TA;140.4;254;7592806133028;2029-02
16936;ALILUB 1,4% SOL.OFT 15ML.;171.65;157;7703763001002;2026-02
15345;ALIVAX FORTE 650 25B.X5CB;1153.98;2;7592432000084;2025-07
VP729;ALIVAX FORTE 650 X10C.BLA;96.33;33;7592432010335;2026-03
LX220;ALIVET FA X10CO;175.44;49;7591585116604;2026-02
17112;ALIVET GRAN.LIMON 10G.X6S;228.7;278;7591585116178;2026-05
GN203;ALIVET JBE.PED.125MG.120;149.81;244;7591585216755;2028-03
LC424;ALIVETNOC FORTE GRAN.6SOB;203.44;263;7591585116673;2026-03
16624;ALLERFEX 120MG. X10TA;169.41;364;7703763722686;2027-03
LC580;ALLIXON NARANJA 240 CC.;117.38;444;7591585112439;2026-05
19252;ALMOHADILLAS ALGOBAP X100;65.98;62;7599408000031;2027-07
19250;ALMOHADILLAS ALGOBAP X60;39.96;33;7599408000017;2027-07
19251;ALMOHADILLAS ALGOBAP X80;55.71;81;7599408000024;2027-07
13482;ALOPURINOL ANG100MG.X30TA;107.07;81;7598176000137;2026-02
14014;ALOPURINOL NEOL300 X20TA;195.54;148;7501384546809;2026-03
17758;ALOPURINOL NIO300 X30TA;110.09;87;7598869002103;2025-02
BI024;ALOVENT HFA20MCG.AER.10ML;470.62;86;4048846001665;2026-05
NW590;ALPHA LIPO ACID NW250 X60;772.85;44;733739108043;2028-03
19452;ALPHA PRO 1 0-6M 400GR.;426.47;38;7506353200522;2025-11
19453;ALPHA PRO 2 6-12M 400GR.;392.56;55;7506353200539;2025-11
19454;ALPHA PRO RICE 0-6M 400GR;509.18;48;7506353200546;2025-11
VM274;ALPRAM 0,5MG. X30TA;132.17;725;7591020005296;2029-04
VM279;ALPRAM 1MG. X30TA;185.41;944;7591020005302;2028-04
VM284;ALPRAM 2MG. X30TA;254.35;759;7591020005319;2028-02
MK090;ALPRAZOLAM +MK0,5 X30TA;112.07;404;7591519000467;2027-04
MK080;ALPRAZOLAM +MK1MG. X30TA;161.73;548;7591519001495;2027-05
16625;ALRES FORTE PPSO X6SOB.;175.14;149;7591062000105;2024-11
AP820;ALSART 160MG. X10CA;188.87;1066;7592601201045;2026-06
AP840;ALSART 80MG. X10CA;132.14;54;7592601201021;2026-04
16744;ALUMA-D SUSP.ORAL 200ML.;232.05;95;8902502117045;2026-04
PO130;ALURON 100MG. X30TA;163.8;849;7592806133042;2028-04
PO570;ALURON 300MG. X20CO;204.75;608;7592806133097;2027-05
18943;AMANIRIS 81MG. X30CO;99.96;251;7593090002649;2025-10
10744;AMARENFEM 150MG. X1CA.BL.;162.31;571;7593090000089;2025-08
SW310;AMARYL M 2/1000 X16CO;378.01;13;7501165006072;2025-11
17300;AMBRO-LORA BQ30/5 SOL.120;115.79;4;7594000851593;2026-07
BQ001;AMBROXOL BQ. 15MG.120ML.;96.69;416;7594000850909;2027-01
DP480;AMBROXOL DP15MG. 120ML.;93.15;142;7592616005010;2026-03
LR360;AMBROXOL LF AD. 120CC.;95.95;199;7594000020418;2026-04
LR370;AMBROXOL LF PED. 120CC.;91.2;177;7594000020401;2026-05
GQ720;AMBROXOL LS15MG.PED.120ML;130.54;1220;7592454120203;2026-02
GQ730;AMBROXOL LS30MG. JBE120ML;137.06;595;7592454120302;2026-02
EH190;AMBROXOL VP JBE.AD.120ML;158.94;63;7703153020071;2026-02
EH200;AMBROXOL VP JBE.PED.120ML;117.04;82;7703153020064;2025-10
19231;AMBROXOL ZZ15MG. X10CO;34.26;28;8906078136097;2025-02
19232;AMBROXOL ZZ30MG. X10CO;35.62;80;8906159250193;2025-10
19597;AMICOPRA 500MG/2ML.X1VIAL;37.1;722;8906112611290;2026-03
GN105;AMIKACINA GN500 2ML. X1A;162.96;465;7591585171740;2026-11
17048;AMIKACINA KMP100MG. X10A;273.91;20;8908003460512;2026-06
14700;AMIKACINA KMP500 2ML.X10A;441.61;63;6942189211454;2025-09
PO280;AMIKACINA PO500/2ML. X1A;97.5;126;7592806114065;2027-02
18523;AMIKACINA VITA100MG. X10A;257.8;25;7707236124632;2027-03
18524;AMIKACINA VITA500MG. X10A;381.93;66;7707236124786;2027-03
NW610;AMINO COMPLETE NW X120CA;714.22;17;733739107893;2027-02
VM204;AMIODARONA GENCER 200X10;206.91;282;7591020003131;2029-06
14502;AMIODARONA LAND200 X100TA;1105.65;33;7598008001653;2026-09
PA729;AMIODARONA PA 200 X10TA;221.0;447;7591243801750;2026-06
15181;AMIPINA 5MG. X30TA;36.27;1029;7598484001154;2026-03
MK995;AMLODIPINA +MK10MG. X10TA;34.29;722;7591519001358;2026-03
MK106;AMLODIPINA +MK10MG. X30TA;84.12;1956;7591519001648;2026-06
19633;AMLODIPINA +MK5 MORO 30TA;141.19;2765;7591519001570;2028-05
MK005;AMLODIPINA +MK5MG. X10TA;37.06;1262;7591519001334;2028-02
MK066;AMLODIPINA +MK5MG. X30TA;83.88;4810;7591519001655;2028-06
15029;AMLODIPINA AL5MG. X30TA;48.72;186;7597758000756;2025-05
16428;AMLODIPINA BM10MG. X30TA;59.49;306;7598127001466;2026-12
12171;AMLODIPINA BP10MG. X60CO;251.42;270;5008081;2025-07
12170;AMLODIPINA BP5MG. X60CO;191.79;11;5007786;2025-11
13639;AMLODIPINA BUKA10MG.X30TA;42.12;58;675696260115;2026-10
DP409;AMLODIPINA DP 10MG. X20TA;48.62;364;7592616014029;2027-02
DP159;AMLODIPINA DP 5MG. X30TA;98.23;587;7592616013039;2027-02
GN790;AMLODIPINA GN 5MG. X30CO;84.05;3131;7591585278166;2027-05
GN939;AMLODIPINA GN10MG. X10CO;33.02;274;7591585178176;2027-02
GN088;AMLODIPINA GN10MG. X30CO;79.21;987;7591585278173;2027-05
GN520;AMLODIPINA GN5MG. X10CO;34.19;426;7591585178169;2027-02
18118;AMLODIPINA GNCR10 X10TA;42.73;28;7591020003247;2024-12
GQ309;AMLODIPINA LS10MG. X10TA;49.81;278;7592454886994;2025-11
GQ314;AMLODIPINA LS5MG. X10TA;44.28;22;7592454887014;2026-08
GQ444;AMLODIPINO LS10MG. X30TA;93.87;4655;7592454889568;2026-05
GQ439;AMLODIPINO LS5MG. X30CO;95.62;3240;7592454889575;2027-05
14368;AMLODIPINO PORTU10 X100TA;155.08;33;7750215007822;2025-04
16172;AMLODIPINO SP10MG. X20CO;98.97;216;7590027000686;2026-04
16180;AMLODIPINO SP5MG. X20CO;95.87;133;7590027000617;2025-11
16060;AMODET 500MG/125MG. X14TA;347.1;505;745687143304;2025-12
13719;AMOKLAVIN-BID 1000MG.14TA;320.74;67;8699525093189;2026-09
13720;AMOKLAVIN-BID FO PPSO70ML;299.0;30;8699525282507;2026-09
CO710;AMOVIN 500MG. X6TA;178.77;135;7591818210178;2026-06
18464;AMOXI AC DAC600/42,9 60;215.22;456;7598578000667;2025-08
18463;AMOXI AC DAC875/125 X10TA;245.96;785;7598578000292;2026-02
19498;AMOXI AC.GEA875/125 X14TA;413.4;152;8906120990103;2025-12
13895;AMOXI+AC POR250/62.5 60ML;269.5;342;7750215007204;2025-11
17155;AMOXI-AC +MK400/57 PPSO70;396.35;507;7591519000610;2025-10
13640;AMOXIC AC BUKA400/57 60ML;168.48;69;675696260597;2026-11
