barcode;laboratory
7592349722192;Vargas (ETC)  (PSI)
7592349953152;Vargas
7592349953077;Vargas
7592349919837;Vargas
7592432001609;Vivax
7592432001616;Vivax
7592432001654;Vivax
7592432002576;Vivax
7592432005300;Vivax
7592432005393;Vivax
7592432005478;Vivax
7592432005546;Vivax
7592432006123;Vivax
7592432006192;Vivax
7592432006208;Vivax
7592432006482;Vivax
7592432006499;Vivax
7592432006512;Vivax
7592432006529;Vivax
7592432006543;Vivax
7592432007274;Vivax
7592432007403;Vivax
7592432007427;Vivax
7592432007632;Vivax
7592432007649;Vivax
7592454000031;Pharmetique MMF
7592454102001;Pharmetique MMF
7592454120203;Pharmetique MMF
7592454120302;Pharmetique MMF
7592454120364;Pharmetique MMF
7592454138185;Pharmetique MMF
7592454138239;Pharmetique MMF
7592454141000;Pharmetique MMF
7592454144964;Pharmetique MMF
7592454146807;Pharmetique MMF
7592454153294;Pharmetique MMF
7592454154055;Pharmetique MMF
7592454172073;Pharmetique MMF
7592454345057;Pharmetique MMF
7592454363754;Pharmetique MMF
7592454381079;Pharmetique MMF
7592454536271;Pharmetique MMF
7592454536370;Pharmetique MMF
7592601100010;Meyer
7592601100126;Meyer
7592601100140;Meyer
7592601100164;Meyer
7592601100171;Meyer
7592601100188;Meyer
7592601100195;Meyer
7592601100201;Meyer
7592601100232;Meyer
7592601100249;Meyer
7592601100317;Meyer
7592601100331;Meyer
7592601100348;Meyer
7592601100355;Meyer
7592601100423;Meyer
7592601100447;Meyer
7592601100454;Meyer
7592601100461;Meyer
7592601100478;Meyer
7592601100492;Meyer
7592601100508;Meyer
7592601100539;Meyer
7592601100546;Meyer
7592601100621;Meyer
7592601100638;Meyer
7592601100645;Meyer
7592601100676;Meyer
7592601100690;Meyer
7592601100706;Meyer
7592601100744;Meyer
7592601100751;Meyer
7592601100805;Meyer
7592601110590;Meyer
7592601200017;Meyer
7592601200024;Meyer
7592601200147;Meyer
7592601200161;Meyer
7592601200192;Meyer
7592601200208;Meyer
7592601200284;Meyer
7592601200291;Meyer
7592601200307;Meyer
7592601200413;Meyer
7592601200536;Meyer
7592601300014;Meyer
7592601300021;Meyer
7592601300113;Meyer
7592601300175;Meyer
7592601300779;Meyer
7501122996231;Farma
7592637000155;Behrens
7592637001435;Behrens
7592637005013;Behrens
7592637002548;Behrens
7591955002278;Megalabs
7592782000055;Vincenti
7592782000109;Vincenti
7592782000116;Vincenti
7592782000130;Vincenti
7592782000178;Vincenti
7592782000529;Vincenti
7592782000253;Vincenti
7592782000260;Vincenti
7592782000291;Vincenti
7592782000307;Vincenti
7592782000963;Vincenti
7592782000338;Vincenti
7592803000019;Dollder
7592803000101;Dollder
7592803000118;Dollder
7592803000200;Dollder
7592803000408;Dollder
7592803000422;Dollder
7592803000439;Dollder
7592803000460;Dollder
7592803000484;Dollder
7592803000491;Dollder
7592803000521;Dollder
7592803000552;Dollder
7592803000750;Dollder
7592803000774;Dollder
7592803000873;Dollder
7592803000880;Dollder
7592803001047;Dollder
7592803001054;Dollder
7592803001085;Dollder
7592803001153;Dollder
7592803001177;Dollder
7592803001207;Dollder
7592803001238;Dollder
7592803001276;Dollder
7592803001290;Dollder
7592803001320;Dollder
7592803001368;Dollder
7592803001405;Dollder
7592806112016;Ronava
7592806112030;Ronava
7592806112054;Ronava
7592806112061;Ronava
7592806112078;Ronava
7592806113013;Ronava
7592806121018;Ronava
7592806121025;Ronava
7592806122015;Ronava
7592806123012;Ronava
7592806131031;Ronava
7592806133011;Ronava
7592806133028;Ronava
7592806133035;Ronava
7592806133042;Ronava
7592806133073;Ronava
7592806133158;Ronava
7592806133165;Ronava
7592806134025;Ronava
7592806134063;Ronava
7594000490051;Megalabs
7594000490303;Megalabs
7594001100034;PlusAndex
7594001100065;PlusAndex
7594001100126;PlusAndex
7594001100164;PlusAndex
7594001100171;PlusAndex
7594001100201;PlusAndex
7594001100218;PlusAndex
7594001100331;PlusAndex
7594001100362;PlusAndex
7594001100416;PlusAndex
7594001100539;PlusAndex
7594001100553;PlusAndex
7594001100560;PlusAndex
7594001100577;PlusAndex
7594001100584;PlusAndex
7594001100591;PlusAndex
7594001100607;PlusAndex
7594001100614;PlusAndex
7594001100706;PlusAndex
7594001100713;PlusAndex
7594001101017;PlusAndex
7594001101048;PlusAndex
7591519004144;Calox
7591519004151;Calox
769229220612;Calox
7592432008028;Vivax
7703153003548;Vivax
7703153003920;Vivax
7703153004026;Vivax
7703153004231;Vivax
7703153008154;Vivax
7703153008192;Vivax
7591619000985;Megalabs
7591619520865;Megalabs
7703281009412;Megalabs
7591619000633;Megalabs
7703333007007;Megalabs
7591619517834;Megalabs
7591619517841;Megalabs
7592454162050;Pharmetique MMF
7703763040698;Pharmetique MMF
7703763875993;Pharmetique MMF
7703763070282;Pharmetique MMF
7703763070299;Pharmetique MMF
7703763301133;Pharmetique MMF
7703763100194;Pharmetique MMF
7592454120371;Pharmetique MMF
7592454003261;Pharmetique MMF
7592454138857;Pharmetique MMF
7592454173971;Pharmetique MMF
7703763226054;Pharmetique MMF
7703763784738;Pharmetique MMF
7703763190164;Pharmetique MMF
7703763326402;Pharmetique MMF
7592454003353;Pharmetique MMF
7592454139304;Pharmetique MMF
7592454153300;Pharmetique MMF
7592454886994;Pharmetique MMF
7591619520605;Megalabs
7730698394138;Megalabs
7730698394183;Megalabs
7730699000366;Megalabs
7591651932299;Vargas
7591651001155;Zuoz Pharma, S.A
7730698004518;Megalabs
7795368001792;Megalabs
7795368001846;Megalabs
7592601100218;Meyer
7592601100836;Meyer
7592601300748;Meyer
7702635165026;Elmor
7591585270757;Leti
7591585113405;Leti
7592349785272;Vargas
7592432007205;Vivax
7591821901995;Farma
7591243843064;Biotech
7592806133066;Ronava
7591955000977;Megalabs
7591619505015;Megalabs
7591619120010;Megalabs
7591619126012;Megalabs
7795368001785;Megalabs
7591619514017;Megalabs
7591196000095;L.O. Oftalmi
7591196000101;L.O. Oftalmi
7591196000132;L.O. Oftalmi
7591196000149;L.O. Oftalmi
7591196001603;L.O. Oftalmi
7591196000910;L.O. Oftalmi
7591196000873;L.O. Oftalmi
7591196000576;L.O. Oftalmi
7596139000132;Lab Chemycals Soma
7591309003692;Ponce
7591309000714;Ponce
7591818118023;Cofasa
7591818112052;Cofasa
7591818111123;Cofasa
7591818112014;Cofasa
7591818132029;Cofasa
7591818112021;Cofasa
7591818111062;Cofasa
7591821102309;Farma
7591821802957;Farma
7592228002629;Farma
7592229003892;Farma
7591519003840;Calox
7591519003079;Calox
7591585177353;Leti
7591955000045;Megalabs
7591955000052;Megalabs
7591955000663;Megalabs
7591955000670;Megalabs
7591619119014;Megalabs
7591196000019;L.O. Oftalmi
7592637000421;Behrens
7591519001754;Calox
7591062013020;Elmor
7460536521609;Megalabs
7596139000057;Lab Chemycals Soma
7596139000033;Lab Chemycals Soma
7596139000040;Lab Chemycals Soma
7591020001328;Valmorca
7591196000620;L.O. Oftalmi
7591196000835;L.O. Oftalmi
7591196000378;L.O. Oftalmi
7591955001677;Megalabs
3515450073520;Polinac
3582910027768;DOLLY FARMA, C.A
736085278439;Elmor
7592432009377;Vivax
7592432009452;Vivax
7592432009476;Vivax
7591020005012;Valmorca
7591020005029;Valmorca
7591044005623;Sanofi Calox
7591062010012;Elmor
7591062010210;Elmor
7591062010432;Elmor
7591062012238;Elmor
7591062013914;Elmor
7591165810014;AVPHARMA,C.A
7591165810052;AVPHARMA,C.A
7591165840035;AVPHARMA,C.A
7591196000583;L.O. Oftalmi
7591196001412;L.O. Oftalmi
7591519001624;Calox
7591519001648;Calox
7591519001716;Calox
7591519001907;Calox
7591519002027;Calox
75922108;Calox
7591519003048;Calox
7591519050820;Calox
7591519317794;Calox
7591585111838;Leti
7591585113597;Leti
7591585113825;Leti
7591585115935;Leti
7591585116208;Leti
7591585118431;Leti
7591585217813;Leti
7591585260055;Leti
7591955000755;Megalabs
7591955000854;Megalabs
7591955001257;Megalabs
7591821210073;Farma
7591821900240;Farma
7592229003861;Farma
7592348201100;Polinac
7592348413848;Polinac
8002660008732;Vargas
7592349912159;Vargas
7591651911089;Vargas
7592432000268;Vivax
7592432002811;Vivax
7592432002828;Vivax
7592432002835;Vivax
7592432004891;Vivax
7592432004976;Vivax
7592432005386;Vivax
7592432901435;Vivax
7592601100515;Meyer
7592601100799;Meyer
7592601200239;Meyer
7592601200246;Meyer
7592601200482;Meyer
7592637397064;Behrens
7592637005464;Behrens
7594000490617;Megalabs
7594000490624;Megalabs
7594000490655;Megalabs
7594000490846;Megalabs
7594000491010;Megalabs
7591165810458;AVPHARMA,C.A
7703153008161;Vivax
7703281009535;Megalabs
7703763660131;Pharmetique MMF
7703763629251;Pharmetique MMF
7706263002036;DOLLY FARMA, C.A
7795345010977;Megalabs
7795345011219;Megalabs
7795368001679;Megalabs
7795368001686;Megalabs
7795368001730;Megalabs
7795368001754;Megalabs
7795373017306;Farma
7591585113283;Leti
7591585213402;Leti
7702123409861;AVPHARMA,C.A
7591585114389;Leti
7591062010227;Elmor
7591585218421;Leti (SAV)
7591955558249;Megalabs
7591955558270;Megalabs
7591016204764;Nestle
7591585115942;Leti
7592349430677;Vargas
7592601100485;Meyer
7592601200314;Meyer
7592637000100;Behrens
7592637000308;Behrens
7592637000339;Behrens
7592637005242;Behrens
7592637000858;Behrens
7592637000964;Behrens
7592637000988;Behrens
7592637001190;Behrens
7592637001329;Behrens
7592637001572;Behrens
7592637005051;Behrens
7592637398498;Behrens
7613034966650;Nestle
7613036121767;Nestle
7592637001367;Behrens
75922115;Calox
27501000910643;Nestle
17501058640755;Nestle
7591016323076;Nestle
17501058640472;Nestle
17501058640489;Nestle
17501058640502;Nestle
7591196000460;L.O. Oftalmi
7591585219244;Leti
7592637000414;Behrens
7591585175014;Leti
7591016017531;Nestle
7591519001358;Calox
7592803000729;Dollder
7591519003710;Calox
7591619163031;Megalabs
7592454163682;Pharmetique MMF
7591619516035;Megalabs
7591309001056;Ponce
7591619163024;Megalabs
7591585116215;Leti
7592601200925;Meyer
7592601200888;Meyer
7592601300809;Meyer
7591585313195;Leti
7592601100683;Meyer
733739103062;Now De Venezuela
7592228002537;Farma
7591821801004;Farma
7592601100928;Meyer
7592432001685;Vivax
7591585177698;Leti
7591821901971;Farma
7592349924602;Vargas
7591020004985;Valmorca
7591955002797;Megalabs
7591955002803;Megalabs
7591062016649;Elmor
7591196000668;L.O. Oftalmi
7591519003901;Calox
7591519003918;Calox
7591519004045;Calox
7591062014607;Elmor
7592637005068;Behrens
7592637005075;Behrens
7592637005099;Behrens
7591020009577;Valmorca
7703153004460;Vivax
7591585173447;Leti
7591519004076;Calox
7592349092172;Vargas
7592637005037;Behrens
7861148021660;Megalabs
7730969306907;Megalabs
7795368002249;Megalabs
7592601300755;Meyer
7592349926194;Vargas
7591519003802;Calox
7591519003727;Calox
7594000490112;Megalabs
7594000490860;Megalabs
7594000491164;Megalabs
7591392801755;Biotech
7592601100904;Meyer
7591196002112;L.O. Oftalmi
7592637005082;Behrens
7591818116128;Cofasa
7591818111147;Cofasa
7591196002303;L.O. Oftalmi
7592601300816;Meyer
7592601100874;Meyer
7795368001761;Megalabs
7594001101055;PlusAndex
7591243829747;Biotech
7591244804422;Biotech
7591244804309;Biotech
7592637002517;Behrens
7591243811384;Biotech
7592349927917;Vargas
7591585277657;Leti
7591196002280;L.O. Oftalmi
7591196003201;L.O. Oftalmi
7591519004038;Calox
7592432006451;Vivax
7592601100881;Meyer
7594002081004;Elmor
7591585175021;Leti
7591196002273;L.O. Oftalmi
7591196003454;L.O. Oftalmi
7592601201007;Meyer
7592601201076;Meyer
7592601201038;Meyer
7592601201045;Meyer
7592601201052;Meyer
7591020006156;Valmorca
7592349928747;Vargas
7591519004007;Calox
7592806133257;Ronava
7592806134032;Ronava
7592229002048;Farma
7591585175106;Leti
7591585173577;Leti
7592601200154;Meyer
7591519004885;Calox
7591519004861;Calox
7591196002471;L.O. Oftalmi
7591619518688;Megalabs
7703763165056;Pharmetique MMF
7703763165063;Pharmetique MMF
7703763165124;Pharmetique MMF
7703763165117;Pharmetique MMF
7592803001566;Dollder
7592229002017;Farma
7591165810342;AVPHARMA,C.A
7591165810359;AVPHARMA,C.A
7591243826777;Biotech
7591242826792;Biotech
7592349926767;Vargas
7591651930967;Zuoz Pharma, S.A
7594000490495;Megalabs
7594000490501;Megalabs
7594000490471;Megalabs
7594000490488;Megalabs
7460536572366;Megalabs
7591955000762;Megalabs
7591196002464;L.O. Oftalmi
7592432005560;Vivax
7795368054101;Megalabs
7591821801424;Farma
7591196002549;L.O. Oftalmi
7591196003102;L.O. Oftalmi
7592229001362;Farma
7591196002624;L.O. Oftalmi
7591196001078;L.O. Oftalmi
7591196001146;L.O. Oftalmi
7591062011255;Elmor
7591062011262;Elmor
7591241854727;Biotech
7591585277602;Leti
7592349923872;Vargas
7703153013059;Vivax
7591243811407;Biotech
7592432009001;Vivax
7592432009018;Vivax
7592432009025;Vivax
7592454889568;Pharmetique MMF
7592349923957;Vargas
7591165810434;AVPHARMA,C.A
7591196002136;L.O. Oftalmi
7591196002563;L.O. Oftalmi
7591196002693;L.O. Oftalmi
7591196002242;L.O. Oftalmi
7592601301059;Meyer
7596139000019;Lab Chemycals Soma
7596139000026;Lab Chemycals Soma
7591585170781;Leti
7591519003574;Calox
7591519005226;Calox
7591519003970;Calox
7592806133639;Ronava
7592432004020;Vivax
7592231002005;Farma
7592228001431;Farma
7592432005508;Vivax
7592432005515;Vivax
7592803001603;Dollder
7592348208215;Polinac
7591818026366;Cofasa
7591818113066;Cofasa
7591196002396;L.O. Oftalmi
7591519005080;Calox
7591519005134;Calox
7592803001788;Dollder
7591519005073;Calox
7591519005066;Calox
7591196002259;L.O. Oftalmi
7591585370228;Leti
7591519004939;Calox
7592803001504;Dollder
7592803001498;Dollder
7591062014447;Elmor
7591196002761;L.O. Oftalmi
7592803001481;Dollder
7592231002012;Farma
7591821102026;Farma
7591585171030;Leti
7591196001894;L.O. Oftalmi
7591196001900;L.O. Oftalmi
7591818251331;Cofasa
7591818251362;Cofasa
7591196002792;L.O. Oftalmi
7591196002808;L.O. Oftalmi
7591585173195;Leti
7591519004892;Calox
7591585279460;Leti
7591519003369;Calox
7591519003383;Calox
7591519003734;Calox
7591519005189;Calox
7591243811704;Biotech
7591243811742;Biotech
7591243811780;Biotech
7591243811803;Biotech
7591243807820;Biotech
7591243807813;Biotech
7591243812374;Biotech
7591062010753;Elmor
7703332003147;Megalabs
7591619520872;Megalabs
7591585178763;Leti
7591519005301;Calox
7591519005264;Calox
7592432009414;Vivax
7591821801882;Farma
7592228001899;Farma
7592803001757;Dollder
7591136000956;Vargas
7591136000963;Vargas
7591243803709;Biotech
7591020006484;Valmorca
7592806113020;Ronava
7591062010814;Elmor
7591196000255;L.O. Oftalmi
7591196000514;L.O. Oftalmi
7592803001801;Dollder
7592637397033;Behrens
736085280005;Elmor
736085213195;Elmor
7591619520773;Megalabs
7591619520766;Megalabs
7591196002914;L.O. Oftalmi
7591818215234;Cofasa
7594001100027;PlusAndex
7594001100294;PlusAndex
7594001100263;PlusAndex
7594001100256;PlusAndex
7594001101130;PlusAndex
7591821901179;Farma
7592229001188;Farma
7591585573810;Leti
7795368054682;Megalabs
7591619163017;Megalabs
7592432008776;Vivax
7591062010463;Elmor
7592432009391;Vivax
7592432008738;Vivax
7592432009384;Vivax
7591619517858;Megalabs
7703332003680;Megalabs
7594001101178;PlusAndex
7594001101185;PlusAndex
7592349940299;Vargas
7592349940374;Vargas
7592229002550;Farma
7592229002567;Farma
7592229002499;Farma
7703153037512;Vivax
7591196002952;L.O. Oftalmi
7591196002945;L.O. Oftalmi
7591585218254;Leti
7592349953237;Vargas
7591585277459;Leti
7591585116291;Leti
7592432009728;Vivax
7592454000444;Pharmetique MMF
7591821902534;Farma
7591196002969;L.O. Oftalmi
7591196003140;L.O. Oftalmi
7591196003027;L.O. Oftalmi
891671002024;Vargas
7591519000696;Calox
7591196003195;L.O. Oftalmi
7591243807554;Biotech
7591243851106;Biotech
7591818244111;Cofasa
7592454000437;Pharmetique MMF
7591585178022;Leti
7591821902701;Farma
7592806132021;Ronava
7591821902671;Farma
7591243820355;Biotech
7591309002756;Ponce
7460536554706;Megalabs
7861148021240;Megalabs
7861148021264;Megalabs
7591619519159;Megalabs
7730699000885;Megalabs
7861148021257;Megalabs
7591196002990;L.O. Oftalmi
7592601301400;Meyer
7591519004922;Calox
7594000491645;Megalabs
7592307000034;C. REP. JERICO C.A
7592307000041;C. REP. JERICO C.A
7703763200610;Pharmetique MMF
7703763200627;Pharmetique MMF
7592454000734;Pharmetique MMF
7592454000796;Pharmetique MMF
7592454000802;Pharmetique MMF
7591519005905;Calox
7591020007474;Valmorca
7591020007344;Valmorca
7591585113306;Leti
7591585113313;Leti
7591585113320;Leti
7591619518367;Megalabs
7592601201137;Meyer
7591196003393;L.O. Oftalmi
7592601100737;Meyer
7703763090341;Pharmetique MMF
7703763090358;Pharmetique MMF
7592349947557;Vargas
7591519005233;Calox
7591196002976;L.O. Oftalmi
7591196002785;L.O. Oftalmi
7703153014247;Vivax
7703153016555;Vivax
7591585119773;Leti
7591243801620;Biotech
7591241817968;Biotech
7591020007542;Valmorca
7591020007139;Valmorca
7591020007214;Valmorca
7592454000789;Pharmetique MMF
7703763165025;Pharmetique MMF
7703763190034;Pharmetique MMF
7591196003171;L.O. Oftalmi
7591585214706;Leti
7591585113139;Leti
7592229002697;Farma
7703763861002;Pharmetique MMF
7591519006506;Calox
